topic_num,label,frex,prob
1,Accomplished Women Biographies,"alice, annie, ella, larsen, ida, emery, merrill, martha, lucy, julia, mary, burnham","title, author, mary, unknown, womans, elizabeth, sarah, ann, follow, annie, emily, emma"
2,Women's Suffrage & Political Rights,"ballot, suffrage, franchise, political, election, vote, anthony, voter, amendment, legislature, politic, petition","woman, right, state, man, vote, suffrage, say, womans, law, unite, congress, territory"
3,Current Events,"francisco, splinter, lately, greeley, railroad, york, baltimore, boston, brooklyn, san, jersey, portland","new, york, one, say, state, man, two, recently, woman, hundred, make, news"
4,Traveler's Correspondence,"autumn, scenery, tree, grass, forest, pine, fern, shrub, foliage, rock, bough, tall","one, see, flower, beautiful, tree, place, old, leave, look, many, time, seem"
5,Relief Society and Conference Reports,"stake, conference, counselor, adjourn, quarterly, benediction, exhort, preside, remark, verbal, statistical, horne","sister, society, good, stake, conference, relief, speak, sing, counselor, hold, make, association"
6,Literature and Music,"poetry, poet, genius, writer, writing, literature, literary, prose, poem, critic, composition, eliot","write, book, one, great, good, work, life, writer, say, author, letter, time"
7,Advertisements,"lace, shoe, machine, stock, knit, assortment, straw, retail, homemade, trimming, yarn, hat","good, lady, author, title, street, dress, make, unknown, office, price, south, work"
8,Obituaries & Tributes,"obituary, loss, mourn, decease, beloved, resolve, bereave, resolution, memoriam, emigrate, resurrection, die","sister, die, death, mother, friend, bear, family, child, husband, daughter, society, wife"
9,Pioneer Heritage and Nauvoo,"camp, nauvoo, kirtland, whitney, wagon, team, mob, missouri, journey, mile, river, joseph","brother, day, one, time, come, leave, father, take, house, nauvoo, mile, two"
10,News of European Royalty,"princess, queen, prince, royal, victoria, abbey, napoleon, majesty, monument, westminster, chapel, palace","queen, woman, lady, king, one, man, great, place, take, england, say, first"
11,Community Celebrations,"birthday, anniversary, recitation, entertainment, cannon, programme, guest, song, folk, tabernacle, party, enjoyable","old, day, present, party, good, song, even, one, make, people, sing, child"
12,Women Professionals,"hospital, editorial, medical, institution, council, executive, auxiliary, womens, graduate, bylaw, student, college","association, lady, school, work, woman, womans, note, one, hold, give, title, author"
13,Household Hints and Recipes,"pint, teaspoonful, boil, milk, ounce, vinegar, butter, bake, acid, hot, sugar, flour","one, water, good, make, two, use, take, put, half, keep, cold, boil"
14,Moral Education,"happiness, charity, affection, friendship, virtue, kindness, fault, bestow, generous, envy, selfish, love","love, life, one, good, heart, word, never, feel, make, true, friend, mind"
15,Women's Education,"physical, develop, sphere, educate, education, moral, faculty, intelligence, habit, mental, knowledge, acquire","woman, man, good, life, great, upon, make, work, many, one, child, every"
16,Gospel Doctrine & Spiritual Kingdom,"lord, god, jesus, holy, salvation, savior, kingdom, commandment, christ, prophet, faith, israel","god, say, lord, upon, spirit, saint, great, come, shall, time, let, know"
17,Polygamy and Persecution,"polygamy, mormon, crime, plural, mormonism, falsehood, vile, religious, marriage, conscience, plurality, newman","man, people, mormon, law, woman, wife, make, marriage, one, right, upon, know"
18,Poetry,"oer, thy, thine, oft, hath, een, hast, dream, woe, twas, neer, doth","love, thy, heart, life, sweet, day, title, shall, author, come, soul, god"
19,Serialized Fiction,"hepsie, cousin, girl, boy, reply, cant, talk, baby, get, mamma, tell, conway","say, little, one, good, think, child, know, mother, see, come, girl, take"
20,Relief Society Projects,"grain, settlement, retrenchment, silk, wheat, store, donate, industry, valuable, mulberry, cocoon, item","good, sister, society, work, many, interest, time, home, much, great, one, feel"
