topic,label,prevalence,split_year,max_jsd
2,T2: Poetry,0.11574155036804994,1911,0.1679151897262611
20,T20: Relief Society Conference Reports,0.06840365080508666,1892,0.17750131972828548
23,T23: Relief Society Board Meeting Reports,0.06124780935270775,1892,0.1568310776068143
5,T5: Obituaries & Tributes,0.05476145681902276,1911,0.19111259618131393
13,T13: Pioneer Heritage and Memoriam Resolutions,0.05045863512305012,1911,0.16822688430220112
3,T3: Advertisements,0.050062387938510054,1911,0.23959653766690903
7,T7: Community Celebrations,0.04973339995867754,1911,0.2152999594133282
16,T16: Relief Society Reports and Projects,0.04602700191021536,1892,0.15423336496337653
21,T21: Editor's Event and Book Reviews,0.043328858547324975,1911,0.15867960146075571
22,T22: Gospel Doctrine and Spiritual Kingdom,0.04280781848341703,1892,0.14288015906674306
14,T14: Women's Suffrage Leaders and Meetings,0.0417809753121864,1911,0.26113427176731707
10,T10: Women's Suffrage & Political Rights,0.03975170357193926,1911,0.18866170960421746
24,T24: Motherhood and Children's Education,0.03883098692157312,1911,0.15289637481529078
8,T8: National and International Women Councils,0.038219026939567295,1911,0.20771889160164103
25,T25: Utah Woman's Press Club Reports,0.03744900722590586,1911,0.28271483660886454
15,T15: Stories of Moral Courage,0.03647878344274133,1911,0.15172966798805115
18,T18: Famous Women,0.027927176864295092,1911,0.18870987892158486
4,T4: Women's Culture and Recipes,0.025984364597156036,1911,0.17259503809241888
19,T19: Traveler's Correspondence,0.02459936028671125,1911,0.18008491441445473
12,T12: Sericulture,0.02121438665510409,1911,0.24773630960708126
11,T11: Current Events and News,0.02051659416012975,1911,0.20562814566230464
17,T17: Accomplished Women Biographies,0.01941659940828298,1892,0.1954853482010579
9,T9: Public Event Announcements,0.01934041196388959,1911,0.16252140324856867
1,T1: Accomplished Women in the News,0.014918859011159765,1911,0.24473803270499372
6,T6: Serialized Fiction,0.010999194333295994,1911,0.14917182381233507
