Publication,Author,Type,Byline articles,+Probable (bal),Total (bal),Mean sentiment,Years
Relief Society Magazine,Elizabeth Williamson,Full name,24,60,84,0.069,1946–1966
Relief Society Magazine,Grace Sayre,Full name,24,25,49,0.084,1946–1953
Relief Society Magazine,Jean Ridges Jennings,Full name,24,39,63,0.048,1947–1958
Relief Society Magazine,Louise W. Madsen,Full name,24,14,38,0.084,1958–1970
Relief Society Magazine,Mabel Law Atkinson,Full name,24,53,77,0.074,1951–1962
Relief Society Magazine,Howard R. Driggs,Full name,23,35,58,0.068,1944–1949
Relief Society Magazine,K. Thomas,Full name,23,29,52,0.047,1936–1970
Relief Society Magazine,Lund Coles,Full name,23,8,31,0.052,1963–1969
Relief Society Magazine,Mabel S. Harmer,Full name,23,23,46,0.048,1933–1953
Relief Society Magazine,Beatrice K. Ekman,Full name,22,20,42,0.029,1939–1955
Relief Society Magazine,Della Adams Leitner,Full name,22,18,40,0.081,1936–1954
Relief Society Magazine,H. Christensen,Full name,22,39,61,0.073,1964–1970
Relief Society Magazine,Ida Elaine James,Full name,22,7,29,0.04,1958–1965
Relief Society Magazine,Iris W. Schow,Full name,22,23,45,0.067,1951–1970
Relief Society Magazine,J. Roberts,Full name,22,0,22,0.043,1963–1970
Relief Society Magazine,Rosa Lee Lloyd,Full name,22,19,41,0.038,1943–1970
Relief Society Magazine,W. Breeze,Full name,22,27,49,0.052,1961–1968
Relief Society Magazine,Alice Whitson Norton,Full name,21,32,53,0.041,1944–1959
Relief Society Magazine,Elsie E. Barrett,Full name,21,39,60,0.067,1925–1946
Relief Society Magazine,Estelle Webb Thomas,Full name,20,26,46,0.053,1925–1955
Relief Society Magazine,Florence J. Madsen,Full name,20,38,58,0.075,1942–1966
Relief Society Magazine,Frances C. Yost,Full name,20,34,54,0.055,1946–1968
Relief Society Magazine,Grace M. Candland,Full name,20,24,44,0.042,1940–1953
Relief Society Magazine,Lalene H. Hart,Full name,20,25,45,0.049,1922–1932
Relief Society Magazine,Leland H. Monson,Full name,20,26,46,0.039,1951–1957
Relief Society Magazine,Maryhale Woolsey,Full name,20,35,55,0.065,1936–1970
Relief Society Magazine,Maude Rubin,Full name,20,10,30,0.04,1954–1965
Relief Society Magazine,Celia Luce,Full name,19,26,45,0.057,1951–1966
Relief Society Magazine,Deone R. Sutherland,Full name,19,20,39,0.056,1948–1958
Relief Society Magazine,T. Edgar Lyon,Full name,19,27,46,0.055,1942–1950
Relief Society Magazine,B. Clark,Full name,18,2,20,0.064,1965–1970
Relief Society Magazine,Catherine B. Bowles,Full name,18,18,36,0.113,1953–1970
Relief Society Magazine,Ezra J. Poulsen,Full name,18,18,36,0.037,1932–1950
Relief Society Magazine,Grace Zenor Pratt,Full name,18,6,24,0.072,1926–1949
