topic_num,label,frex,prob
1,Fictional Stories,"alyn, jinny, stevie, tutu, joey, kareen, jed, mommie, hadnt, janets, steves, wasnt","say, can, come, get, good, look, know, think, just, see, like, back"
2,Relief Society Reports and News,"pct, nampa, portneuf, weiser, minidoka, enrollsubscriptions, texaslouisiana, fresno, nyssa, richland, santaquintintic, uvada","stake, mission, member, branch, visit, counselor, leave, year, report, first, present, teacher"
3,War News & Commentary,"russia, treaty, war, turk, britain, entente, arab, patriot, asia, troop, army, democracy","war, state, people, government, great, american, unite, country, land, man, america, new"
4,Poetry,"oer, sky, twas, gladness, neath, tread, oft, een, mardan, shadow, gleam, dim","love, heart, life, day, come, sweet, light, god, soul, earth, like, see"
5,Social Welfare & Charitable Work,"responsibility, problem, relationship, attitude, behavior, welfare, environment, individual, development, develop, personality, community","child, home, work, much, family, life, good, make, can, give, lesson, need"
6,Nutrition & Dietary Science,"diet, rickets, tobacco, cancer, cure, income, disease, alcohol, vitamin, tooth, expenditure, defect","much, good, food, use, health, can, child, work, time, year, care, make"
7,Literature and Music,"chaucer, poes, sappho, stanza, shakespeare, prose, poet, poetic, dickens, wordsworth, tennyson, novel","book, write, story, much, life, poem, good, great, literature, man, music, poet"
8,Serialized Moral Stories,"hepsie, reply, cousin, maitland, girl, bland, clair, boy, inquire, tell, anything, talk","much, good, can, say, little, mother, know, think, time, come, see, child"
9,Advertisements,"hvy, bldg, prepay, nonrun, mcconahay, wgt, rumseys, teasdels, daynesbeebe, rib, maytag, getter","new, good, south, book, street, order, main, buy, style, temple, cotton, east"
10,Gospel Doctrine & Spiritual Kingdom,"nephites, mosiah, cowdery, revelation, dhc, commandment, doctrine, repentance, scripture, covenant, savior, disciple","god, lord, man, say, come, give, prophet, gospel, people, joseph, great, faith"
11,"Sewing, Fashion & Handwork","stitch, seam, fabric, hem, glue, placket, skirt, armhole, cardboard, thread, tape, rickrack","make, use, can, color, flower, good, much, plant, room, place, material, small"
12,Parenting & Child Moral Education,"mourn, bereave, decease, resolve, beloved, emigrate, grandchild, funeral, nauvoo, resolution, daughter, loss","year, mother, life, family, child, love, daughter, bear, smith, friend, husband, wife"
13,Women's Suffrage & Political Rights,"suffrage, cady, legislature, triennial, delegate, ballot, amendment, voter, suffragist, vote, election, franchise","woman, state, work, national, council, suffrage, vote, year, new, man, committee, unite"
14,Community Events,"recitation, programme, shipp, primary, inst, friday, wednesday, dougall, thursday, repast, louie, presendia","meet, young, good, lady, give, present, make, hold, much, association, interest, well"
15,Polygamy,"degrade, folly, polygamy, plural, ignorant, innocent, slander, degradation, self, offspring, evil, charac","man, much, woman, good, can, life, great, make, right, every, many, must"
16,Travel Correspondence,"wagon, camp, log, cattle, horse, cabin, lon, indian, squaw, boat, team, selena","day, mile, come, man, indian, leave, house, place, build, see, much, mountain"
17,Relief Society and Church Conferences,"benediction, adjourn, exhort, thankful, conference, meeting, sis, preside, congregation, remark, counsel, prayer","good, work, meet, stake, say, conference, speak, feel, sing, give, report, god"
18,Recipes & Cooking Instructions,"tsp, tbsp, sauce, tablespoon, parsley, rind, clove, cornstarch, mayonnaise, garlic, saucepan, serving","water, add, sugar, cook, egg, milk, cup, butter, make, bake, fruit, serve"
19,Relief Society Leadership,"nonpareil, unsolicited, vesta, ramona, marianne, contest, coles, prizewinning, willes, winner, wangsgaard, contestant","year, poem, story, editorial, contest, publish, new, prize, note, field, feature, cannon"
20,Accomplished Women,"princess, statue, gallery, museum, queen, linnies, serena, madame, palace, cory, empress, actress","much, art, great, beautiful, queen, woman, many, year, work, see, place, old"
