row_index,bertopic_topic,bertopic_prob
1,-1,0.0
2,-1,0.0
3,54,1.0
4,-1,0.0
5,-1,0.0
6,-1,0.0
7,-1,0.0
8,-1,0.0
9,-1,0.0
10,-1,0.0
11,15,0.5619845928486578
12,22,0.9513277918901897
13,-1,0.0
14,-1,0.0
15,22,0.6382481165105468
16,22,1.0
17,3,1.0
18,22,0.9856887604519758
19,22,0.728031207443565
20,3,1.0
21,-1,0.0
22,26,0.9772697366709013
23,54,1.0
24,54,1.0
25,26,1.0
26,18,1.0
27,21,0.3464601745948824
28,-1,0.0
29,2,0.9475249156466129
30,26,0.46655001033268784
31,51,1.0
32,3,1.0
33,51,1.0
34,-1,0.0
35,-1,0.0
36,54,1.0
37,-1,0.0
38,51,1.0
39,-1,0.0
40,40,0.9037628917736173
41,19,1.0
42,-1,0.0
43,-1,0.0
44,51,1.0
45,5,0.82491483944051
46,3,1.0
47,2,1.0
48,-1,0.0
49,51,1.0
50,-1,0.0
51,40,0.7561650529606002
52,-1,0.0
53,3,1.0
54,2,1.0
55,-1,0.0
56,22,1.0
57,22,1.0
58,-1,0.0
59,19,0.560638473669555
60,3,1.0
61,-1,0.0
62,54,1.0
63,16,1.0
64,6,0.21285213758115787
65,-1,0.0
66,42,1.0
67,-1,0.0
68,3,1.0
69,-1,0.0
70,54,1.0
71,15,0.5461817153417335
72,18,0.2756683572775477
73,-1,0.0
74,-1,0.0
75,-1,0.0
76,-1,0.0
77,3,0.80138953718947
78,-1,0.0
79,-1,0.0
80,3,1.0
81,-1,0.0
82,2,0.8790394076704474
83,-1,0.0
84,51,1.0
85,-1,0.0
86,-1,0.0
87,14,0.5713316682433673
88,3,1.0
89,-1,0.0
90,3,1.0
91,-1,0.0
92,54,1.0
93,-1,0.0
94,18,1.0
95,-1,0.0
96,54,1.0
97,-1,0.0
98,3,1.0
99,36,0.471713518048618
100,3,1.0
101,-1,0.0
102,3,1.0
103,42,1.0
104,-1,0.0
105,15,0.5533982408471471
106,6,0.16581100861105358
107,-1,0.0
108,3,1.0
109,-1,0.0
110,-1,0.0
111,42,1.0
112,54,0.8473574191592688
113,-1,0.0
114,51,1.0
115,-1,0.0
116,50,1.0
117,8,0.6767732095383142
118,-1,0.0
119,20,0.2815810526392067
120,-1,0.0
121,-1,0.0
122,-1,0.0
123,8,0.5609586260862359
124,0,1.0
125,2,1.0
126,18,0.43606263657695443
127,-1,0.0
128,-1,0.0
129,-1,0.0
130,1,1.0
131,2,1.0
132,56,1.0
133,11,1.0
134,-1,0.0
135,3,1.0
136,-1,0.0
137,38,0.6518769656159393
138,13,1.0
139,-1,0.0
140,1,0.8776669827815162
141,0,0.970246483809375
142,-1,0.0
143,2,1.0
144,-1,0.0
145,11,1.0
146,-1,0.0
147,3,1.0
148,-1,0.0
149,-1,0.0
150,-1,0.0
151,3,1.0
152,-1,0.0
153,-1,0.0
154,2,1.0
155,2,1.0
156,11,0.6349933887800735
157,-1,0.0
158,3,1.0
159,-1,0.0
160,3,0.8574598790717923
161,32,0.7552313188955971
162,1,0.7468962068372264
163,-1,0.0
164,1,1.0
165,0,1.0
166,-1,0.0
167,-1,0.0
168,17,0.9073250054760007
169,21,0.7136378425164701
170,-1,0.0
171,-1,0.0
172,15,0.5619845928486578
173,22,1.0
174,50,1.0
175,2,1.0
176,-1,0.0
177,17,0.8326612994051656
178,-1,0.0
179,3,1.0
180,-1,0.0
181,5,0.7313077840962363
182,1,1.0
183,-1,0.0
184,53,0.9952275804470487
185,8,0.7724326417945605
186,32,1.0
187,0,1.0
188,50,1.0
189,-1,0.0
190,41,0.2889586816334695
191,28,0.7661365404422437
192,1,1.0
193,17,1.0
194,22,1.0
195,6,0.18112262019624709
196,-1,0.0
197,2,1.0
198,2,1.0
199,-1,0.0
200,15,0.5007381359170021
201,3,1.0
202,-1,0.0
203,45,0.966309984220879
204,45,1.0
205,-1,0.0
206,27,0.8546528190027003
207,21,0.425794994023585
208,16,0.895282276289137
209,22,1.0
210,-1,0.0
211,17,0.8036088089550121
212,2,1.0
213,11,0.6545970886646743
214,20,0.3363255129069041
215,-1,0.0
216,2,1.0
217,11,0.7250223574871467
218,3,1.0
219,-1,0.0
220,-1,0.0
221,-1,0.0
222,3,1.0
223,-1,0.0
224,49,1.0
225,1,0.8942967252712429
226,2,0.8796372338822169
227,1,0.8315206900173423
228,3,1.0
229,8,0.5757885312282081
230,1,0.8269031387786977
231,-1,0.0
232,-1,0.0
233,-1,0.0
234,8,0.56596854711735
235,1,0.9200780273827245
236,0,1.0
237,1,0.7264826573158755
238,-1,0.0
239,35,0.860606468424315
240,16,0.9344701693829205
241,5,0.7764990730872386
242,-1,0.0
243,-1,0.0
244,-1,0.0
245,16,0.7331606289560451
246,2,1.0
247,-1,0.0
248,-1,0.0
249,3,1.0
250,-1,0.0
251,-1,0.0
252,-1,0.0
253,1,0.8255217871159654
254,-1,0.0
255,-1,0.0
256,0,1.0
257,0,1.0
258,0,1.0
259,-1,0.0
260,0,0.9600632816182221
261,-1,0.0
262,28,1.0
263,2,1.0
264,-1,0.0
265,21,0.568192485620813
266,-1,0.0
267,17,0.9213193067616341
268,28,1.0
269,3,1.0
270,-1,0.0
271,22,0.8425169917532548
272,22,1.0
273,1,1.0
274,-1,0.0
275,50,1.0
276,0,1.0
277,-1,0.0
278,-1,0.0
279,22,0.657301984983791
280,4,0.4429502901256917
281,-1,0.0
282,-1,0.0
283,-1,0.0
284,2,1.0
285,-1,0.0
286,-1,0.0
287,-1,0.0
288,1,0.868825921261691
289,11,1.0
290,3,1.0
291,-1,0.0
292,3,0.8283427160302737
293,12,0.8696155623517478
294,-1,0.0
295,1,0.9987281910841146
296,32,0.674793020848432
297,-1,0.0
298,0,1.0
299,-1,0.0
300,-1,0.0
301,-1,0.0
302,17,0.7899864538984578
303,-1,0.0
304,2,1.0
305,2,1.0
306,11,0.8365767589174619
307,23,1.0
308,3,0.8456926339069272
309,3,1.0
310,2,1.0
311,47,1.0
312,-1,0.0
313,12,1.0
314,12,0.8650277178275811
315,14,0.46630225568669414
316,0,1.0
317,6,1.0
318,-1,0.0
319,17,0.7297686793752123
320,-1,0.0
321,2,0.9487414976180624
322,11,1.0
323,2,0.8824844504847824
324,3,1.0
325,-1,0.0
326,2,1.0
327,2,1.0
328,3,1.0
329,1,0.994574537330058
330,-1,0.0
331,21,0.30070153805081484
332,-1,0.0
333,35,1.0
334,-1,0.0
335,9,0.6747792653735304
336,6,0.3930105299276085
337,0,1.0
338,28,1.0
339,-1,0.0
340,-1,0.0
341,2,1.0
342,11,0.8155610349442399
343,11,1.0
344,3,1.0
345,-1,0.0
346,-1,0.0
347,2,1.0
348,-1,0.0
349,3,0.7481836101585964
350,-1,0.0
351,-1,0.0
352,-1,0.0
353,32,1.0
354,8,0.5532799502865264
355,32,0.9326537930240958
356,-1,0.0
357,2,1.0
358,-1,0.0
359,-1,0.0
360,13,1.0
361,3,1.0
362,39,1.0
363,-1,0.0
364,49,1.0
365,0,1.0
366,26,0.40235082863525423
367,-1,0.0
368,49,1.0
369,39,0.7982035910509419
370,-1,0.0
371,2,1.0
372,11,0.9849381460890542
373,11,1.0
374,16,0.9445279329326589
375,3,1.0
376,-1,0.0
377,0,1.0
378,1,0.738563302010082
379,-1,0.0
380,1,0.8006437893774841
381,-1,0.0
382,-1,0.0
383,0,1.0
384,-1,0.0
385,-1,0.0
386,-1,0.0
387,17,0.7447918599999009
388,-1,0.0
389,2,1.0
390,2,1.0
391,11,1.0
392,-1,0.0
393,3,0.7162522610958935
394,-1,0.0
395,-1,0.0
396,13,0.9145423010516317
397,-1,0.0
398,45,0.9861737863560467
399,0,1.0
400,0,0.8012872144908966
401,22,0.5027355327766826
402,22,0.5807681276586589
403,15,0.7015565478683198
404,17,0.7309678876443891
405,2,1.0
406,-1,0.0
407,-1,0.0
408,-1,0.0
409,22,0.4671788852438826
410,1,0.9096294348443115
411,3,1.0
412,8,0.6007600927054252
413,45,1.0
414,-1,0.0
415,28,0.386046283329156
416,-1,0.0
417,22,0.3540534612237208
418,22,0.6109474300231181
419,32,0.8585514531323505
420,-1,0.0
421,-1,0.0
422,16,0.7825072261031409
423,17,0.7291985537159855
424,2,1.0
425,-1,0.0
426,3,1.0
427,15,0.5148379995741231
428,-1,0.0
429,3,1.0
430,5,0.7754938056407497
431,36,0.6954322967917038
432,22,0.3975806379762673
433,2,1.0
434,2,1.0
435,11,0.978727348745053
436,-1,0.0
437,-1,0.0
438,50,1.0
439,-1,0.0
440,19,0.8184330199270589
441,5,0.7333381465601323
442,5,1.0
443,-1,0.0
444,-1,0.0
445,-1,0.0
446,-1,0.0
447,-1,0.0
448,-1,0.0
449,-1,0.0
450,-1,0.0
451,-1,0.0
452,-1,0.0
453,-1,0.0
454,2,0.881616198893735
455,-1,0.0
456,22,0.5248179822984624
457,-1,0.0
458,1,1.0
459,3,1.0
460,1,0.8627512001810929
461,-1,0.0
462,25,0.8769121248924103
463,1,0.847630007835402
464,32,0.7300939506506617
465,-1,0.0
466,-1,0.0
467,-1,0.0
468,-1,0.0
469,0,0.744509534854692
470,17,0.8815865881874302
471,-1,0.0
472,-1,0.0
473,46,0.7648841052700591
474,-1,0.0
475,3,0.8287144366723374
476,3,1.0
477,1,1.0
478,0,0.9734463477959664
479,0,0.926431964387111
480,1,0.7329030213661996
481,1,0.75986227347759
482,-1,0.0
483,0,1.0
484,-1,0.0
485,22,0.32298608400989276
486,-1,0.0
487,-1,0.0
488,39,1.0
489,-1,0.0
490,-1,0.0
491,1,1.0
492,3,0.8910896669810646
493,-1,0.0
494,-1,0.0
495,15,0.7289233416741824
496,15,0.6350915435684682
497,-1,0.0
498,-1,0.0
499,-1,0.0
500,44,0.819207615695947
501,-1,0.0
502,22,0.497965253421185
503,22,0.919757025671505
504,-1,0.0
505,2,1.0
506,-1,0.0
507,2,1.0
508,11,1.0
509,16,0.9915814467629602
510,3,1.0
511,-1,0.0
512,0,1.0
513,-1,0.0
514,3,1.0
515,32,0.7294992966563852
516,4,0.8626233363847571
517,-1,0.0
518,-1,0.0
519,37,1.0
520,16,1.0
521,-1,0.0
522,21,0.45541148616577004
523,32,0.8486475173471576
524,17,0.7488939272620019
525,0,1.0
526,0,1.0
527,-1,0.0
528,2,1.0
529,37,1.0
530,-1,0.0
531,3,1.0
532,1,0.8975265250471589
533,6,0.21772762479658558
534,38,0.5987200210566742
535,-1,0.0
536,2,1.0
537,-1,0.0
538,38,0.5627851360084262
539,28,1.0
540,-1,0.0
541,0,1.0
542,17,1.0
543,1,0.8504516455426415
544,2,1.0
545,11,0.8522724791193053
546,15,1.0
547,15,1.0
548,-1,0.0
549,3,1.0
550,1,0.8858795342338835
551,2,1.0
552,12,1.0
553,0,1.0
554,-1,0.0
555,-1,0.0
556,6,0.20495951831738696
557,16,1.0
558,1,0.8906936255082455
559,17,1.0
560,12,1.0
561,2,1.0
562,-1,0.0
563,11,0.8600290755651
564,15,0.7391059969259849
565,3,1.0
566,17,0.7344236572075243
567,1,1.0
568,0,1.0
569,5,0.8006832815787364
570,-1,0.0
571,28,0.9855160945087078
572,-1,0.0
573,-1,0.0
574,-1,0.0
575,1,0.8982337965626966
576,1,0.7856475332829843
577,2,1.0
578,2,1.0
579,11,1.0
580,3,1.0
581,2,1.0
582,-1,0.0
583,0,0.6537743438801481
584,-1,0.0
585,-1,0.0
586,2,1.0
587,-1,0.0
588,1,0.9296785259891917
589,-1,0.0
590,-1,0.0
591,-1,0.0
592,-1,0.0
593,-1,0.0
594,3,1.0
595,-1,0.0
596,-1,0.0
597,52,0.38131809728319266
598,-1,0.0
599,0,1.0
600,-1,0.0
601,14,0.47590124147907764
602,21,0.8294268227628829
603,28,1.0
604,6,0.23717551161018133
605,17,1.0
606,-1,0.0
607,3,0.9639606803383521
608,-1,0.0
609,-1,0.0
610,1,1.0
611,1,0.7761269251745492
612,-1,0.0
613,2,1.0
614,-1,0.0
615,35,0.5549025579313909
616,28,0.8799597833320405
617,-1,0.0
618,-1,0.0
619,28,1.0
620,-1,0.0
621,2,1.0
622,2,0.933474440014675
623,28,0.8105421050827066
624,-1,0.0
625,-1,0.0
626,2,1.0
627,-1,0.0
628,-1,0.0
629,3,1.0
630,27,0.8421684293726418
631,-1,0.0
632,16,0.7553675045559161
633,0,0.6329448406379949
634,-1,0.0
635,-1,0.0
636,21,0.45700516492795634
637,28,1.0
638,16,1.0
639,44,0.9643032376343754
640,-1,0.0
641,-1,0.0
642,17,0.8521479670356205
643,6,0.4368510608692811
644,17,0.7312326162957846
645,2,1.0
646,2,1.0
647,2,1.0
648,-1,0.0
649,-1,0.0
650,-1,0.0
651,-1,0.0
652,1,1.0
653,-1,0.0
654,36,1.0
655,19,0.5679527936385887
656,-1,0.0
657,-1,0.0
658,-1,0.0
659,-1,0.0
660,-1,0.0
661,14,0.698936342076997
662,0,1.0
663,17,1.0
664,-1,0.0
665,3,1.0
666,-1,0.0
667,25,0.8150340503631991
668,1,0.837170320689671
669,1,0.8272775383339465
670,-1,0.0
671,-1,0.0
672,3,1.0
673,-1,0.0
674,-1,0.0
675,25,0.5007202267319663
676,1,0.9766497211238853
677,-1,0.0
678,-1,0.0
679,6,0.16442345992325558
680,28,0.9618433512345722
681,17,0.8909708087096795
682,2,0.9902525609922281
683,22,0.7496368389344434
684,-1,0.0
685,15,0.7126159355749708
686,5,0.7196798827311609
687,3,1.0
688,1,1.0
689,-1,0.0
690,32,0.6905615955569662
691,0,1.0
692,-1,0.0
693,-1,0.0
694,-1,0.0
695,-1,0.0
696,-1,0.0
697,44,1.0
698,8,0.6326428079149575
699,28,1.0
700,6,0.23717551161018133
701,0,1.0
702,-1,0.0
703,17,0.7766835416266934
704,1,1.0
705,8,1.0
706,3,1.0
