topic,label,prevalence,split_year,max_jsd
18,T18: Poetry,0.0903537433349492,1872,0.18674035847959758
5,T5: Relief Society and Conference Reports,0.07886578672785778,1872,0.2058330597322676
16,T16: Gospel Doctrine & Spiritual Kingdom,0.07513975820871813,1872,0.16810408414419115
15,T15: Women's Education,0.07126773036080342,1890,0.14000263749560235
19,T19: Serialized Fiction,0.06432593033665225,1890,0.14090350868043994
20,T20: Relief Society Projects,0.06391272662710094,1872,0.14370724168429616
8,T8: Obituaries & Tributes,0.05189299769348027,1872,0.1796726080788326
14,T14: Moral Education,0.051181342688066934,1890,0.13794594561340512
7,T7: Advertisements,0.050551732469611345,1890,0.22002764286672521
12,T12: Women Professionals,0.0478746613434298,1872,0.17692012836326404
11,T11: Community Celebrations,0.04592564453767117,1872,0.1994500575056295
2,T2: Women's Suffrage & Political Rights,0.04489401460165034,1872,0.15081935377103323
3,T3: Current Events,0.041618322275842744,1890,0.19366423252413575
17,T17: Polygamy and Persecution,0.040256613573886234,1890,0.158535732441903
4,T4: Traveler's Correspondence,0.03567213111355251,1872,0.15643946730913244
1,T1: Accomplished Women Biographies,0.03406186084716756,1872,0.27113404176440054
6,T6: Literature and Music,0.03236984375678425,1872,0.18917822407984702
13,T13: Household Hints and Recipes,0.032151502963360654,1890,0.18615327371675178
10,T10: News of European Royalty,0.024368298010266975,1890,0.170057438401387
9,T9: Pioneer Heritage and Nauvoo,0.023315358529147498,1872,0.1731736432933487
