row_index,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18
1,0.0027282374909758872,0.0032030203398246983,0.0022189095379751855,0.0018467683700509083,0.10418922289439983,0.2665638089247899,0.005133522346119161,0.035006065509791524,0.06780018756912144,0.0026255821158216184,0.3874140975538482,0.10605565625663417,0.002851300212876418,0.0011012422594817931,0.006204727955188333,0.0033476537116718455,2.3804479928751603e-4,0.001471952152141769
2,0.0029623592166993424,0.005586341429700694,0.0023998015330573275,0.002221246222404796,0.04680782071740561,0.25110723867829937,0.006256279235910387,0.06357836711611908,0.05571878615732787,0.0029701881950505884,0.4265372192864861,0.11934042489859681,0.0032288581577252203,0.0011803621084899346,0.005753472478790301,0.0027105203359387184,2.709462489636545e-4,0.0013697679830341962
3,0.0019049345756357414,0.0013149408504646433,0.002726587792323949,6.965429427803662e-4,0.599371408649463,0.19183074372815762,7.168069496688681e-4,0.003116924042454756,7.360090185770628e-4,0.0010421111534594293,0.008556787434419944,0.02744490475756366,9.104282342208366e-4,2.7203672747045906e-4,0.0012548608458813168,0.1567950095124537,2.1500181646367654e-4,0.0010939609685410112
4,7.158130371884262e-5,1.3436028133838678e-5,5.092602694038602e-5,0.0016936059546025133,3.9224427905662004e-5,6.0675490942123466e-5,3.0818841515230385e-4,4.974235907274918e-5,2.1409404880401436e-4,0.9384269906292262,0.008285647724538514,0.030589832509048287,4.6248449121866794e-5,0.001009288417735682,5.754816463411217e-5,9.065376706314927e-4,0.01070070782769427,0.007475724552097468
5,5.090582717342757e-5,7.778503627269783e-6,5.824184825306133e-5,0.005093183594756477,5.276053945847328e-5,4.5276830039907695e-5,2.398391028858738e-4,6.367453323961513e-5,1.2492552390854677e-4,0.9662429358707887,0.004812578083441772,0.0024942832725724905,3.923964184105129e-5,7.185423876544861e-4,4.013600294287187e-5,5.061574497365085e-4,0.01655747065331925,0.002852070334360641
6,7.142781626448484e-4,5.503152197170794e-5,2.95156181892348e-4,0.002629638735257165,0.0024152922179510087,0.09630007789976078,7.34470228112151e-4,0.0031418965235876857,4.115641371717228e-4,0.8324764715376727,0.035488381643399326,0.00292319206470225,2.831862887278867e-4,0.007429827019573126,1.8243412142806886e-4,0.002122818682097788,5.953258107940892e-4,0.01180095722325564
7,0.05035897984357912,0.03445983113930544,0.44277021985912696,0.0038526719042173995,0.05406866324931092,0.08397693225538501,0.007971556489968017,0.00923137887274959,0.02370875548858733,0.0028716819186695385,0.1420441548927152,0.0072420776812948656,0.10170316263459733,9.47556435747707e-4,0.0035893853091634007,0.013377987279548087,6.646608282424105e-4,0.017160343917791414
8,0.00321806809557871,0.009366184609892081,0.23731418867172768,0.008782567830639472,0.022965303855784967,0.22316183533282707,0.00451962886391688,0.08118550112367207,0.086450423996732,0.004476585223098813,0.27737054179069925,0.005441271358284856,0.016216050086278556,0.001246456417609384,0.004572312066839568,0.0033073515882238546,6.985091089848647e-4,0.009707219979209682
9,1.8244193130532806e-4,1.6437244645409662e-4,4.87291067457598e-4,0.031135143536576353,8.742060625068455e-4,0.005413284468405123,8.851721494047326e-4,0.0422668876832624,5.334095162647101e-4,0.0017553686361431176,0.02378234603854171,0.43481083809642956,0.0010781055063857964,1.584921757680947e-4,0.002000829309260526,0.0018608698483505882,0.4107468388984124,0.041864102629071163
10,1.9787180965967824e-4,1.7645273203432865e-4,3.124358111439044e-4,0.0023666748914277862,1.2810240691942692e-4,4.4622914075780664e-4,5.176896771816398e-4,1.7459578020802982e-4,5.909997442540079e-4,0.005597048129357551,0.011227340592291054,0.09949909226158336,2.309071344114784e-4,4.70486401770255e-4,6.066673782212981e-4,0.0029293973376684486,0.8687070926962871,0.0058209160748223885
11,9.818390305463356e-5,9.119085554497419e-5,1.533508878754198e-4,0.001081950027537358,1.0673261670190804e-4,5.499040120770333e-5,7.954557685925914e-5,2.2302046433554834e-5,1.2015626349530777e-4,0.0017201083002383653,6.884064086184054e-4,0.0013397057286614342,3.0482848566840232e-5,7.504029171079435e-5,2.7221648693730605e-4,4.99479170604176e-4,0.9911106720415775,0.0024554861443753843
12,4.4688103157565414e-4,7.79416545976869e-5,5.588521254790582e-4,0.04752082017623936,4.1849370471864225e-4,2.3096738794217795e-4,0.0010345845728707201,5.09552896889193e-4,7.463992093889438e-4,0.0026248064745848483,0.005884453065458915,0.7563949021306527,0.0011228399794900208,3.034231567197961e-4,0.0016334124449826099,0.004133234207424815,0.006164526022531345,0.1701939097584534
