row_index,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15
1,0.09103607162981298,0.0016922026118900962,0.0024591701425261568,0.004734807136557841,0.16502363081249316,0.012435417287766128,0.0051474166914387024,0.01049804687596522,0.01329085414637136,0.06996776660389953,0.21049384467370544,0.005781769411644286,0.026225647803656195,8.261244276450643e-4,0.38038722974462785
2,0.13184177081805654,0.01978825222283286,0.009214969737712901,0.002523257025479392,0.10275345940488291,0.0020307915579672064,9.32960693555648e-4,0.002219827806993307,0.04661586034124571,0.23040407351209483,0.0019259571336117597,0.0030618540925153154,0.002508153981273828,3.791853111474511e-4,0.4437996263606303
3,0.006000691082783687,8.039041203652064e-4,0.002344316031797273,0.5383523686346722,0.01300898175483716,0.0012954772152377805,0.03999608463110668,0.0030783120410892233,0.014690896537331289,0.03589901905997149,5.419052305342578e-4,1.7125039100495467e-4,0.03543447116694092,0.028913007931912916,0.27946931417041493
4,0.0012549671297918082,0.38295214839769426,2.529779545058994e-4,7.673993049921383e-5,0.003530783797758675,0.5808018672656634,3.0700097017914794e-4,0.002855357780154033,0.0015846900637855933,0.006194585669660261,0.014615759746580222,0.0014437045676100131,3.997864068257209e-4,0.0015066373254179137,0.0022229929938733816
5,0.0037079070696986456,0.006252091314406648,0.005872191903795147,0.0026214964008455075,0.004636638804342353,0.0015660084705120699,0.2776288242790925,0.351899202048715,0.05458987112116348,0.24099669072663069,0.001830523581048867,0.0059050368180029065,0.015476128402608808,0.022267714395476167,0.004749674663661596
6,0.003923733467595287,0.2532927097856178,0.0041683457634222616,0.0010139271302481911,0.0029751598117548524,0.173693512584786,0.002782243761303049,0.3549542945677555,0.012359245557761057,0.14652125502848204,0.005740116859989117,0.03196671291352641,8.231853272533605e-4,0.0026743918803688116,0.0031111655601365174
7,0.011455533753070637,0.03376780462678504,0.0037431329159434423,0.01976265977871184,0.04678226383202322,0.008736561145618433,0.0020493804720508684,0.016459575543100378,0.03570045764366733,0.01722110231416336,0.0073280828278546395,0.002399539083021179,0.5520689472269064,0.23637979573239862,0.006145163104684475
8,0.06014457616697701,0.06679381302490539,0.013243672577256085,0.15626060607408102,0.16213111812702447,0.05870600497393354,0.010559143781068618,0.23005995847368443,0.04330197821455083,0.021673025612192066,0.013840776184108583,0.013780944389766198,0.12717995465935666,0.010881192674143192,0.011443235066952055
9,0.006148848650026019,0.0017011073650077823,0.008366446817599514,0.002783850441806218,0.0032008764016603175,0.003825719112291317,0.3516699910216184,0.01303271572241679,0.044699307422782386,0.4772519458001085,0.0063696544118635335,0.0037542981402001966,0.0021194738208592887,3.748305518871333e-4,0.07470093431987261
10,0.005205964506963441,0.005364394056647887,0.00879855631524994,0.0037857150944213226,0.004039229747491542,0.005654995826761257,0.3872964044778304,0.09285066701725889,0.032802512204517735,0.4043584384861936,0.005497155003215385,0.0057072169164737625,0.003502839945738888,0.0011208603899274573,0.03401505001130841
11,0.2540476121894176,0.002844051471860774,0.019838170725007813,0.0033676204509923936,0.006609679739387039,0.008177841374160643,0.023183577698587317,0.03266863296906224,0.01883372780088012,0.5656245722755288,0.012914832173823798,0.0022791817162165435,0.001436755866265912,1.874562227837152e-4,0.04798628732602512
12,0.004495906677771468,0.034191825216640256,0.1746519540532199,0.010948193612781917,0.15080575792815112,0.29671953782818367,0.0013218999887230159,0.005860390775391989,0.27631973551991873,0.02701917392505323,0.0012363843165467073,0.0014995526241644416,0.0040164127438452515,0.0057225552711600335,0.005190719518448692
13,0.17511139056890004,7.525624942338795e-4,0.002467522182936357,0.02061400024620097,0.3627486067462119,0.013489539158844644,0.03578970778403229,0.11107146699146929,0.008882188470067087,0.01958339510400243,0.19388280809765882,0.006622288628953022,0.005784806020590676,2.530357474320198e-4,0.042946681758466526
14,0.0066611950654865675,7.341021656816299e-4,0.00916904308115855,0.0020407333102295047,0.008251430595000393,0.0023365153335357307,0.004282019862034044,0.0037688360405189465,0.06719025885605041,0.12034519948125887,0.06010381938273837,0.0010717131449388651,0.005812328861472002,5.594212831409126e-4,0.7076733835367552
15,0.005145694539812474,0.48141968144237773,0.002428303497505334,0.0018401761658924422,0.08803034040282291,0.004356892499154521,2.592308975920383e-4,0.004532910568699237,0.06396713469901895,0.25990276896475756,0.0010764672646443876,0.08066231368796334,0.0014338639563515351,0.002011585475262443,0.0029326359381448694
16,0.004871529390919748,0.49543250705484443,0.012799170726632843,8.139693100700501e-4,0.0076441490210672584,0.2073545826643094,0.0014856158372981744,0.006981092837193366,0.04511005715008397,0.17899093789160717,0.003116669913504032,0.008807652431148153,8.535857698473065e-4,0.0022985547890669125,0.023439925212406888
17,0.006907275861644701,0.015146504358907879,0.0027124747372883045,0.01025042016323597,0.027971808401087376,0.01616040014109049,0.0015806258137437386,0.008803384941739066,0.08180510246134884,0.010231275365170238,0.005560087380923904,9.599255396735197e-4,0.6478114051020238,0.1611002533568097,0.0029990563753127266
18,0.010917643842362929,0.011426587808930364,0.035611094751432024,0.016745406819886073,0.041171245342088575,0.27570680665053293,0.0033919988343196514,0.008847757685207182,0.515025586229972,0.05968885766203726,0.0040946632633863745,0.0031016063855843793,0.0036103062808427533,0.00209228301698086,0.00856815542643705
19,5.727991714525869e-4,0.6269444626923273,0.0017164688937933777,1.4378111023164925e-4,0.0012739757150522228,0.0015389113529398638,1.421568311189798e-4,0.0014643163363592068,0.0288045553354827,0.33115782100002306,3.9977719374919164e-4,0.0031205054439892603,2.2605590356599556e-4,0.001376071929342505,0.0011183410905718839
20,6.478436408513483e-4,0.033898312780376375,3.9481000484514967e-4,0.001512697238501027,0.004234265562402485,9.443078483324206e-4,5.981351257182965e-5,5.6024744274204e-4,0.08894653305086296,0.0016898996921505124,3.774099566051175e-4,1.0426708470111506e-4,0.5366306186168964,0.32966441808744035,3.3455548072004824e-4
21,0.010697384906478547,0.001521905459302003,0.16980385927370636,0.0025828916894703453,0.00459937415598554,0.01692516822022904,0.005183146528793503,0.0038863762739123264,0.012591650056800092,0.10610522090070017,0.18967435599663623,0.003228738367987251,0.007687747294886522,5.341356439342177e-4,0.4649780452311778
22,0.029917114477296315,4.52479299700985e-4,0.02094883869090752,0.007309483162407339,0.025721740049043127,0.01300991142637015,0.04159623673225086,0.015224876821009042,0.003742461414428232,0.01610836725295723,0.31075137292664134,0.020724874119295394,0.01039731281346221,2.697581481624845e-4,0.48382517266606784
23,0.020827462401091634,0.0027510897416542683,0.02107664478016339,0.47384129915475665,0.05452529909687982,0.002906018931885645,0.005335644665543197,0.014970502607319717,0.29988918011261845,0.0668465669240711,0.002209897665439984,0.0014920579744872912,0.017711495503488,0.0020590116191662637,0.013557828821434345
