topic_num,auto_label,full_label,frex_words,prob_words,manual_label
1,Frontmatter Savings Goods,Topic 1: Frontmatter Savings Goods,"frontmatter, savings, goods, dry, bank, contents, class, accounts, nursing, obstetrics, nurse, editorial, salt, lake, roberts","utah, lake, city, salt, issue, title, author, womansexponent, unknown, relief, society, class, thomas, stake, goods",
2,Thine Oer Thy,Topic 2: Thine Oer Thy,"thine, oer, thy, neath, thee, twas, een, oft, thou, hath, eer, doth, lifes, tis, woe","thy, love, author, title, womansexponent, issue, thou, unknown, shall, god, heart, life, day, thee, sweet",
3,Cts Editor $300,Topic 3: Cts Editor $300,"cts, editor, $300, postage, monthly, $250, advertisers, communications, advertising, mail, publisher, space, regular, rates, extra","one, exponent, wells, womans, business, city, editor, year, copy, cts, utah, month, office, salt, lake",
4,American Literature (Washington Irving),Topic 4: American Literature (Washington Irving),"esther, literary, book, polly, literature, poems, manning, writers, nightingale, pope, prose, jenny, sweetheart, sidney, poetic","book, one, many, aunt, great, work, little, time, people, first, life, young, years, literary, said",
5,Regent Guests Hostess,Topic 5: Regent Guests Hostess,"regent, guests, hostess, birthday, decorated, guest, affair, sears, anniversary, lund, handsome, delightful, reception, dougall, lion","sister, smith, young, president, wells, many, guests, birthday, day, party, one, honor, given, friends, home",
6,Resolved Resolutions Whereas,Topic 6: Resolved Resolutions Whereas,"resolved, resolutions, whereas, bereaved, mourn, loss, worker, emulate, faithful, heartfelt, departed, publication, beloved, heavenly, extend","society, sister, relief, resolved, resolutions, life, ward, faithful, one, family, years, mother, husband, copy, loss",
7,Prophet Dispensation Prophets,Topic 7: Prophet Dispensation Prophets,"prophet, dispensation, prophets, kimball, ghost, amanda, kirtland, heroic, israel, everlasting, nauvoo, joseph, abraham, fielding, baptism","prophet, one, smith, joseph, sister, women, great, church, woman, life, young, god, many, time, man",
8,Loved Funeral Floral,Topic 8: Loved Funeral Floral,"loved, funeral, floral, casket, tender, giveth, loving, burnham, gone, illness, grave, winder, sorrow, dearest, peacefully","sister, life, one, many, home, friends, loved, years, mother, beautiful, young, love, dear, death, long",
9,Bettie Brandon Christmas,Topic 9: Bettie Brandon Christmas,"bettie, brandon, christmas, dorothy, hate, claus, builded, merry, yes, graves, folks, alps, wind, vose, canal","one, christmas, little, old, come, long, great, now, home, even, said, though, day, column, time",
10,County Morrison Plains,Topic 10: County Morrison Plains,"county, morrison, plains, eggertsen, moved, 1848, hardships, handcart, 1846, 1856, 1868, 1852, resided, bullock, settled","years, sister, children, home, family, first, one, time, city, lake, many, came, salt, society, church",
11,Statue Ride Property,Topic 11: Statue Ride Property,"statue, ride, property, colonial, dickens, dutch, livermore, palace, boat, philadelphia, gardens, park, built, statues, gallery","one, old, first, many, city, new, time, great, people, went, two, day, now, building, england",
12,Progress Believe Greater,Topic 12: Progress Believe Greater,"progress, believe, greater, generation, prosperity, mankind, activity, growth, actual, vast, certainly, industry, problems, aware, methods","great, people, one, work, many, women, world, time, good, much, every, things, must, men, upon",
13,Club Jensen Portland,Topic 13: Club Jensen Portland,"club, jensen, portland, retiring, program, ross, barton, rendered, recitations, reapers, critchlow, branch, lawn, press, condie","society, president, club, meeting, held, relief, program, sister, evening, years, rendered, work, social, home, one",
14,Women's Suffrage & Political Rights,Topic 14: Women's Suffrage & Political Rights,"suffrage, bill, legislature, vote, frage, equal, political, suf, blackwell, campaign, reform, temperance, legislation, anthony, votes","women, woman, suffrage, men, state, womans, one, states, new, work, years, vote, notes, equal, first",
15,Stakes Assembly Counselors,Topic 15: Stakes Assembly Counselors,"stakes, assembly, counselors, organization, stated, genealogical, clarissa, instruction, bathsheba, branches, conferences, cleveland, julina, williams, ciety","society, relief, president, smith, work, sisters, sister, stake, meeting, organization, secretary, members, joseph, officers, church",
16,Colton Reported Singing,Topic 16: Colton Reported Singing,"colton, reported, singing, benediction, spoke, adjourned, pleased, standring, conference, remarks, exercises, stake, reports, presiding, urged","sister, stake, society, relief, sisters, president, work, spoke, good, conference, said, singing, ward, felt, counselor",
17,Ref Lesson Lecture,Topic 17: Ref Lesson Lecture,"ref, lesson, lecture, cov, doc, obedience, habits, childs, cleanliness, teach, avoid, effects, child, proper, matt","children, home, lecture, child, mothers, life, parents, mother, good, love, lesson, god, work, teach, one",
18,International Council Congress,Topic 18: International Council Congress,"international, council, congress, sewall, quinquennial, national, executive, affiliated, delegates, councils, tional, arbitration, german, indianapolis, berlin","council, women, national, international, peace, congress, president, one, held, committee, states, meeting, united, work, womans",
19,Got Started Indians,Topic 19: Got Started Indians,"got, started, indians, wagon, get, cattle, miles, camp, road, winter, brother, went, told, camped, journey","one, home, father, said, mother, time, brother, came, day, went, house, little, see, never, two",
20,Alder Ellis Shipp,Topic 20: Alder Ellis Shipp,"alder, ellis, shipp, lydia, romania, russell, caine, maria, sec, annie, secy, jenne, penrose, horn, spencer","author, issue, title, womansexponent, womans, exponent, wells, unknown, mary, annie, column, cannon, alder, lydia, shipp",
