topic,label,prevalence,split_year,max_jsd
4,T4: Stories of Motherhood and Womanhood,0.11828796303319744,1914,0.32909120425622274
1,T1: Nature Themed Poetic Prose,0.11174091036435471,1914,0.4234726546869844
3,T3: Moral Stories,0.1027142603252247,1915,0.2608111513679484
16,T16: Motherhood & Child-Rearing,0.08303208746414832,1914,0.2500469065972184
15,T15: Gospel Doctrine & Spiritual Kingdom,0.08061441756599518,1914,0.2591097104679601
12,T12: Relief Society Conference Reports,0.06606804700498371,1914,0.2544569065196628
18,"T18: Sewing, Fashion & Handwork",0.05390851724289876,1914,0.3442925648668831
9,T9: Prominent Women,0.044827558007372134,1914,0.32867629485163236
7,T7: Nauvoo and Pioneer Foremothers,0.04473841199014471,1914,0.2960511952628848
5,T5: Relief Society Leadership,0.03999876047625165,1919,0.28198832728721807
8,T8: Poetry Contest,0.039980501511266024,1914,0.3637358118121382
10,T10: National & International Affairs,0.0394305279499076,1914,0.2618302775312271
13,T13: Advertisements,0.036106076570723955,1914,0.3055873513777444
11,T11: Literature & Book Reviews,0.033021254237275866,1914,0.294404657002733
6,T6: Recipes & Cooking Instructions,0.032032752704824564,1914,0.3265751678803481
2,T2: Relief Society Reports,0.03040194543600742,1915,0.33418801721182334
14,T14: Relief Society News,0.024738621177017688,1915,0.2996731890776808
17,T17: Women's Conferences and Relief Society Projects,0.01835738693840559,1969,0.3486430540494382
