topic_num,label,prevalence,pct
1,Gardening and Flower Displays,0.11873151878205948,11.9
6,Recipes,0.11724643572349923,11.7
4,Relief Society Conference Reports,0.093087321757209393,9.3
5,Motherhood and Marriage Advice,0.08565688075169178,8.6
11,Relief Society Magazine Subscription and Correspondence Announcements,0.07392942735085373,7.4
8,Religious Lessons & Scripture Study,0.0698212943304628,7
7,Poetry,0.0666188113091918,6.7
9,Women's Religious Responsibility,0.06661845186496203,6.7
10,Pioneer Emigration & Journey Stories,0.06622486902753048,6.6
2,Church Organizational Announcements,0.06543320079356416,6.5
12,Fictional Stories,0.04926748693925214,4.9
14,Literature and Poetry,0.04534185647646432,4.5
3,National & International Affairs,0.03245722503764769,3.2
13,Advertisements,0.027793681900166175,2.8
15,Relief Society Initiatives and Programs,0.02177153795544479,2.2
