topic_num,label,frex,prob
1,Gardening and Flower Displays,"bloom, sky, blossom, flower, purple, cloud, bud, plant, gleam, sun, wind, bird","flower, tree, plant, light, garden, see, heart, come, long, white, earth, night"
2,Church Organizational Announcements,"secondclass, sharpsurname, payable, postpaid, insurance, expire, manuscript, beneficial, binder, elliottsurname, frontispiece, madsensurname","book, new, price, old, office, buy, south, special, address, business, deseret, church"
3,National & International Affairs,"constitution, government, russia, republic, political, cancer, flag, declaration, treaty, democracy, russian, military","state, government, war, american, man, unite, people, world, america, country, right, law"
4,Relief Society Conference Reports,"membership, attendance, conference, fund, session, welfare, project, organization, member, total, centennial, annual","member, work, stake, church, woman, organization, make, conference, mission, give, sister, service"
5,Motherhood and Marriage Advice,"habit, mental, attitude, adjustment, moral, sex, health, adult, relationship, problem, physical, behavior","good, child, family, life, one, home, make, people, many, must, need, problem"
6,Recipes,"thy, soul, strength, sorrow, blessing, pray, heavenly, bless, prayer, faith, eternal, gratitude","life, love, man, god, great, good, give, heart, one, world, come, faith"
7,Poetry,"rayon, vitamin, med, juice, fabric, cotton, nonrun, tomato, yarn, wool, cheese, vegetable","make, use, good, one, food, color, material, room, style, clothe, clean, place"
8,Religious Lessons & Scripture Study,"bob, alyn, janet, judith, linda, jim, steve, didnt, jimmy, tom, turner, joe","say, come, get, good, know, see, think, look, back, like, just, now"
9,Women's Religious Responsibility,"exponent, graduate, university, wellssurname, womens, association, connelly, womans, knightsurname, kimball, suffrage, academy","woman, work, school, church, university, many, young, first, daughter, one, great, member"
10,Pioneer Emigration & Journey Stories,"revelation, covenant, doctrine, disciple, savior, israel, luke, matt, moses, sabbath, parable, ghost","lord, god, church, man, lesson, jesus, christ, say, shall, come, prophet, give"
11,Relief Society Magazine Subscription and Correspondence Announcements,"christmas, boy, mother, grandmother, child, doll, toy, kareen, letter, game, girl, happy","mother, child, one, good, home, little, time, make, come, say, old, take"
12,Fictional Stories,"poet, novel, poem, humor, contest, drama, literary, prose, lyric, composition, poetic, writer","story, book, write, one, poem, music, literature, good, life, great, first, word"
13,Advertisements,"pocatello, burley, montpelier, texaslouisiana, maricopa, rexburg, bazaar, stakesurname, gridley, rigby, pct, teton","stake, branch, mission, leave, right, idaho, counselorsurname, photograph, state, submit, row, sister"
14,Literature and Poetry,"indian, wagon, nauvoo, settlement, camp, missouri, andrew, handcart, settler, team, journey, mile","pioneer, indian, one, build, man, first, make, people, saint, time, come, valley"
15,Relief Society Initiatives and Programs,"joanna, delsa, cory, linnie, nell, brill, abigail, hal, fred, alec, edith, ware","say, good, look, come, like, think, know, just, take, get, see, edith"
