flagged,count,hunspell_suggestion,closest_vocab_term,closest_vocab_count
lois,133,soil,love,6134
bennion,131,benediction,NA,NA
colorado,131,colorado,NA,NA
juan,131,juan,man,10518
pauline,131,pauline,NA,NA
wednesday,131,wednesday,NA,NA
josephine,130,josephine,NA,NA
ter,130,yer,see,7901
laura,129,laura,laugh,808
rae,129,are,one,17251
vivian,129,vivian,vision,796
pocatello,128,collocate,NA,NA
rexburg,128,burger,NA,NA
mcconkie,127,mcconnell,NA,NA
perry,127,perry,carry,2114
spanish,126,spanish,NA,NA
utahs,126,truths,NA,NA
russia,125,russia,NA,NA
anthony,124,anthony,NA,NA
jacob,124,jacob,job,953
mexican,122,mexican,NA,NA
nazareth,122,nazareth,NA,NA
effie,121,effie,office,1527
friday,121,friday,NA,NA
rigby,121,rugby,right,4064
evelyn,120,evelyn,even,4852
ceil,119,cal,child,9199
janie,119,janie,range,371
pauls,119,pails,pass,1864
beatrice,118,beatrice,NA,NA
maude,118,maude,make,14413
alec,117,lace,let,3338
daniel,117,denial,angel,536
egypt,117,egypt,NA,NA
onehalf,117,one half,NA,NA
oregon,117,oregon,organ,503
mollie,116,mollie,NA,NA
caroline,115,caroline,NA,NA
mildred,115,mildred,NA,NA
boise,114,boise,house,3688
irene,114,irene,tree,1658
marys,114,marts,many,7898
ments,114,meets,meet,2136
wellbeing,114,well being,NA,NA
blanche,113,blanche,branch,1958
carson,113,carson,person,1630
elsie,113,elsie,lie,1562
mississippi,113,mississippi,NA,NA
monday,113,monday,today,2285
sanpete,113,saltpeter,NA,NA
wilson,113,wilson,NA,NA
bethlehem,112,bethlehem,NA,NA
mem,112,men,man,10518
shouldnt,112,shouldn't,shoulder,544
societys,112,society,NA,NA
jerry,111,jerry,carry,2114
phelps,111,phelps,help,4438
eleanor,110,eleanor,NA,NA
japanese,110,japanese,NA,NA
louis,110,louis,loss,315
nonrun,110,non run,NA,NA
russell,109,russell,NA,NA
sept,109,pest,see,7901
shelley,109,shelley,shelter,236
sidney,109,sidney,side,1524
della,108,della,tell,4323
galilee,108,galilee,NA,NA
jefferson,108,jefferson,NA,NA
oahu,108,oahu,NA,NA
shakespeare,108,shakespeare,NA,NA
alberta,106,alberta,NA,NA
lula,106,lula,full,1551
mae,106,mae,one,17251
alaska,105,alaska,NA,NA
marler,105,marker,master,878
sylvia,105,sylvia,NA,NA
alta,104,alta,art,1610
arthur,104,arthur,NA,NA
maricopa,104,macroscopic,NA,NA
roosevelt,104,roosevelt,NA,NA
danny,103,danny,many,7898
hal,103,hal,say,11551
iowa,103,iowa,now,6054
knowlton,103,knowledge,NA,NA
russian,103,russian,NA,NA
twentyfour,103,twenty four,NA,NA
jinny,102,jinny,tiny,417
leda,102,lead,let,3338
morgan,102,morgan,moral,653
cowdery,101,powdery,NA,NA
garff,101,gaff,NA,NA
isaiah,101,isaiah,NA,NA
italy,101,italy,talk,1486
canadian,100,canadian,NA,NA
jennie,100,jennie,NA,NA
lydia,100,lydia,NA,NA
texas,100,taxes,tear,986
columbia,99,columbia,NA,NA
hawaii,99,hawaii,NA,NA
scotland,99,scotland,NA,NA
nan,98,nan,say,11551
samaritan,98,samaritan,NA,NA
bennett,97,bennett,NA,NA
cora,97,cora,come,11973
pennsylvania,97,pennsylvania,NA,NA
15c,96,NA,etc,545
bonneville,96,bonneville,NA,NA
jeff,96,jeff,self,405
myra,96,myra,mark,1102
eileen,95,eileen,eleven,228
francis,95,francis,NA,NA
hester,95,hester,sister,3413
palmyra,95,palmyra,NA,NA
stephen,95,stephen,NA,NA
youngs,95,young,young,4114
bernice,94,bernice,service,3317
connie,93,connie,NA,NA
ful,93,fool,feel,4724
hoggan,93,hogan,organ,503
kathleen,93,kathleen,NA,NA
nora,93,nora,work,10620
judd,92,judd,just,4675
millie,92,millie,mile,799
schirmer,92,schemer,NA,NA
submittal,92,submitter,NA,NA
wayne,92,wayne,way,5206
barbara,91,barbara,NA,NA
gladys,91,gladys,lady,1139
larsen,91,larsen,large,2262
merrill,91,merrill,NA,NA
minnie,91,minnie,minute,874
rigdon,91,rig don,region,251
roxey,91,xerox,money,1561
tilda,91,tidal,wild,421
benson,90,benson,lesson,4682
bernardino,90,inordinate,NA,NA
harris,90,harris,NA,NA
lon,90,lon,one,17251
nina,90,nina,find,5663
patricia,90,patricia,NA,NA
selfcontrol,90,self control,NA,NA
workandbusiness,90,businesswoman,NA,NA
annette,89,annette,NA,NA
charlotte,89,charlotte,NA,NA
satan,89,satan,stand,3286
stevie,89,stevie,stave,233
werent,89,weren't,parent,1773
wellknown,88,well known,NA,NA
ardman,87,adman,roman,247
babys,87,baby,baby,1351
barlow,87,barlow,allow,568
carl,87,carl,call,4529
sion,87,soon,upon,5161
stephens,87,stephens,NA,NA
arab,86,arab,away,2537
holland,86,holland,NA,NA
nettie,86,nettie,settle,514
oakland,86,oakland,NA,NA
pingree,86,grepping,NA,NA
willard,86,willard,NA,NA
bradford,85,bradford,NA,NA
michael,85,michael,NA,NA
theyll,85,they'll,tell,4323
ture,85,true,time,11050
hasnt,84,hast,hand,4328
lucille,84,lucille,NA,NA
madsen,84,madden,NA,NA
saul,84,saul,say,11551
seattle,84,seattle,settle,514
sevier,84,sever,never,4155
