row_index,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15
1,0.006188614901610808,0.49366492790173755,9.073138296452648e-4,0.0075738760077765956,0.0012405572580930062,0.0016563158282231042,0.36275046206382067,1.461636555619669e-4,0.09328209417850904,5.603176690979148e-5,0.0029320894650067863,0.0013305050336623022,0.026912057528622187,0.0011122714829107276,2.467190979100423e-4
2,0.9647999320494496,0.0025325486390076726,2.2576763032145606e-4,1.901617734974219e-4,2.5009700634782576e-4,0.009814954765576199,0.00376605611807457,0.004520450415765583,7.935772963317008e-4,1.1949282616323114e-4,0.006421302866538494,0.002762132177553878,4.021047891680714e-4,0.0028478266624966486,5.535949837073974e-4
3,0.5338292044286176,0.00111766641050695,0.0013648866094945382,9.471847545783089e-4,0.0031472904790507046,0.4281657703286856,0.0011366869537544186,0.003243114960271985,0.0026431439723987836,0.005441013221109488,0.009942593411616279,0.005034275056779147,2.355475760521735e-4,0.0033539589998084203,3.9766283727538223e-4
4,0.1277854036800402,5.035682319284325e-4,3.9831215731484226e-4,5.21957542441347e-4,0.004775070709395867,0.009102747046513211,0.04132926187998984,0.3109321819151295,8.168040607267013e-4,2.463779633641352e-4,0.49472442448893533,0.0019433541101853782,3.4588409037235486e-4,0.003140993392532864,0.0034336587311296052
5,0.04284910716099597,6.220800209614888e-4,0.08754372924376559,0.0031241004504137396,0.04891788923280243,0.05153739105828829,0.007771659050449141,0.00892335498126487,0.006015127171587328,0.009239986464660371,0.6998569240930748,0.009133498647220175,2.7003132114316984e-4,0.022998045543991524,0.0011970755593815798
6,0.4342747772305915,0.001509187449996003,0.0013429811889456385,0.0011191921298188282,0.00594013664687106,0.17552662324593418,0.002226416068390485,0.010705807019815283,0.0030871119325089798,0.021383750673146823,0.07601383948667487,0.26259743532200913,4.188509442984544e-4,0.0027116141841618427,0.0011422764768373726
7,0.2937907623344578,0.006385810165577065,0.0029636580364076808,0.005463281600819926,0.005480268049682425,0.13662306097737925,0.004973296503229788,0.014012259568166765,0.06363349104465581,0.01418592668684335,0.14131251256261682,0.3029434493093305,0.0022834525792822407,0.003643516917145823,0.0023052536644043776
8,0.2592069070591404,0.0016715776643717098,0.019346263005120955,0.03307228754766932,0.11623442728336959,0.3655769923983892,0.0018101968523817553,7.9055968990739e-4,0.07823040801841567,0.00656476262814321,0.013465166469236796,0.05074399388454454,5.89832844189299e-4,0.052428088903140185,2.6853575198039e-4
9,0.016348815427061587,0.0019029446540703282,0.10719357896182714,0.01276330506445189,0.2463322445742292,0.08352789225832617,0.32789262066384106,9.562392540681076e-4,0.12869094427060407,0.0010525120331329129,0.06391838984102824,0.006629495239482061,3.3699785730063376e-4,0.0016803577633122356,7.736621372647315e-4
10,0.003822314317605577,0.5058081796224646,0.0012874739293074432,0.00783318645838107,0.0018302334887722723,0.0010149759856361428,0.30761021546904355,3.4618688964686503e-4,0.12427973823435977,1.410105907959365e-4,0.00435842328977047,0.0024681902259654762,0.03757643567979463,0.00129538707268003,3.280487457764734e-4
