topic_num,topic_label,proportion,filename,Title,Author,Article_Type,volume_num,year,issue,proportion_pct
2,Relief Society Conference Reports,0.980203095869578,WE_Vol35_1906_Issue9_026_UINTAH_STAKE.txt,Uintah Stake,Unknown,Article,35,1906,9,98.02
2,Relief Society Conference Reports,0.9798846879155417,WE_Vol33_1904_Issue9_021_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,Unknown,Relief Society Report,33,1904,9,97.99
2,Relief Society Conference Reports,0.9786946722433274,WE_Vol37_1908_Issue5_016_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,"ANNIE MARIA ALLEN,",Relief Society Report,37,1908,5,97.87
2,Relief Society Conference Reports,0.9757624907141601,WE_Vol39_1910_Issue3_023_YELLOWSTONE_STAKE.txt,YELLOWSTONE STAKE.,"MARY E. BROWER,",Article,39,1910,3,97.58
2,Relief Society Conference Reports,0.9746160650012516,WE_Vol40_1911_Issue6_019_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,WOMAN’S EXPONENT,Relief Society Report,40,1911,6,97.46
2,Relief Society Conference Reports,0.9741272924551188,WE_Vol34_1905_Issue10_023_UINTAH_STAKE.txt,UINTAH STAKE.,Unknown,Article,34,1905,10,97.41
2,Relief Society Conference Reports,0.9725257941353674,WE_Vol38_1909_Issue3_017_LIBERTY_STAKE.txt,LIBERTY STAKE.,Unknown,Article,38,1909,3,97.25
2,Relief Society Conference Reports,0.9708096474041962,WE_Vol37_1908_Issue5_017_LIBERTY_STAKE.txt,LIBERTY STAKE.,Unknown,Article,37,1908,5,97.08
2,Relief Society Conference Reports,0.9706316374954057,WE_Vol34_1905_Issue4_005_UINTAH_STAKE.txt,UINTAH STAKE.,Unknown,Article,34,1905,4,97.06
2,Relief Society Conference Reports,0.9701091104625201,WE_Vol41_1912_Issue2_019_RELIEF_SOCIETY_REPORTS.txt,RELIEF SOCIETY REPORTS.,Unknown,Relief Society Report,41,1912,2,97.01
2,Relief Society Conference Reports,0.9687071695824313,WE_Vol37_1908_Issue7_023_RELIEF_SOCIETY_REPORT.txt,RELIEF SOCIETY REPORT.,"MARGARET W. MANNING,",Relief Society Report,37,1908,7,96.87
2,Relief Society Conference Reports,0.9686400645247972,WE_Vol40_1911_Issue2_022_RELIEF_SOCIETY_REPORTS_2.txt,RELIEF SOCIETY REPORTS.,Unknown,Relief Society Report,40,1911,2,96.86
