topic_num,auto_label,frex_words,prob_words,manual_label
1,Een / Oer / Thy,"een, oer, thy, thine, hath, neath, oft, twas, sky, tread, brow, tear, thro, glory, woe","love, life, heart, day, thy, god, author, one, come, title, good, unknown, shall, sweet, world",
2,International Women's Councils,"congress, arbitration, international, national, delegate, suffrage, political, convention, council, bill, affiliate, russia, quinquennial, executive, sewall","woman, council, state, man, suffrage, one, national, make, work, hold, country, great, first, international, new",
3,Saving / Patronage / Pariel,"saving, patronage, pariel, main, spin-dry, nurse, cashier, reduction, communication, bank, class, semiannually, roberts, midwifery, readytowear","one, author, title, well, unknown, society, relief, good, nurse, cannon, class, street, note, thomas, business",
4,Church Conference Proceedings,"colton, conference, benediction, adjourn, standring, counselor, stake, solo, sing, preside, urge, session, speak, attendance, remark","sister, society, stake, relief, work, good, speak, conference, give, sing, say, ward, counselor, feel, mother",
5,Windeyer / Bettie / Village,"windeyer, bettie, village, brandon, kitchen, christmas, window, polly, esther, folk, yes, jenny, dorothy, machine, boat","one, say, good, come, little, day, home, see, time, old, make, know, great, take, man",
6,Obituaries & Tributes,"resolve, resolution, loss, bereave, whereas, faithful, beloved, mourn, funeral, decease, publication, emulate, illness, depart, heartfelt","sister, society, relief, life, love, one, ward, family, friend, faithful, mother, resolve, resolution, death, bear",
7,Religious Lessons & Scripture Study,"ref, doc, cov, lesson, lecture, obedience, habit, evil, avoid, proper, physical, moral, cleanliness, parent, confidence","child, home, mother, good, lecture, life, teach, god, love, parent, make, give, work, lesson, one",
8,Guest / Regent / Anniversary,"guest, regent, anniversary, birthday, delightful, refreshment, hostess, banquet, enjoyable, reception, sear, decorate, party, dougall, poem","give, smith, well, sister, young, honor, present, day, old, guest, one, friend, many, party, society",
9,Literature & Book Reviews,"activity, certainly, transpire, genealogical, literary, dispensation, pertain, locality, attain, effort, direction, advancement, establish, enterprise, accomplish","woman, great, work, one, good, people, many, time, society, make, man, church, smith, give, life",
10,Nauvoo / Journey / Camp,"nauvoo, journey, camp, mob, missouri, wagon, winter, mile, persecution, team, brother, indian, start, kirtland, drive","one, come, brother, time, home, sister, father, day, family, take, mother, good, child, leave, make",
