topic,label,prevalence,split_year,max_jsd
12,T12: Nature Poems,0.11464948002941239,1969,0.21650604997134648
10,T10: Moral Fiction,0.10677246738671363,1969,0.1630255218016841
11,T11: Motherhood Poems,0.10265124753368575,1951,0.17284327522339601
18,"T18: Sewing, Fashion & Handwork",0.06376467376326415,1969,0.18075047896053517
5,T5: Church Leadership and Relief Society Announcements,0.06107627794521089,1969,0.176009297682169
4,T4: Home Management and Education,0.0582879612890781,1951,0.1748235934894281
8,T8: Religious Lessons,0.056337021752825865,1951,0.144324721573127
9,T9: Story and Poetry Contest Winners,0.052626185031404364,1951,0.18433810532999834
15,T15: Advertisements,0.05102771877780982,1951,0.21833433005773017
6,T6: Gospel Doctrine & Spiritual Kingdom,0.04949696959531254,1969,0.153713605071667
1,T1: Stake & Ward Relief Society Reports,0.04788894868301097,1951,0.21330972451783545
17,T17: Recipes,0.04109182446529878,1951,0.18208703838287066
3,"T3: Disease Education, Research, and Service",0.038317995755379815,1969,0.23665444696455845
16,T16: Travel Destination Narratives,0.03815721542865509,1969,0.18070495399966066
2,T2: Mission Field Correspondence,0.03354966869711394,1951,0.21801711723342737
13,T13: Literature & Book Reviews,0.03307334075250609,1969,0.18753376334545063
14,T14: Serialized Fiction,0.03204750623981187,1951,0.1961345326152334
7,T7: Poetry and Music,0.019183496873505946,1969,0.18637426476359598
