row_index,bertopic_topic,bertopic_prob
1,1,1.0
2,3,0.9522982649785308
3,-1,0.0
4,0,0.6335754532872453
5,0,0.5735290394346804
6,-1,0.0
7,-1,0.0
8,-1,0.0
9,-1,0.0
10,1,1.0
11,-1,0.0
12,24,1.0
13,-1,0.0
14,2,1.0
15,-1,0.0
16,-1,0.0
17,2,1.0
18,4,0.9983700811511491
19,2,0.7269965192140673
20,1,1.0
21,-1,0.0
22,-1,0.0
23,-1,0.0
24,3,0.6169157203868059
25,-1,0.0
26,-1,0.0
27,1,1.0
28,1,1.0
29,12,0.9915169999659419
30,-1,0.0
31,-1,0.0
32,-1,0.0
33,0,0.8113934362587896
34,0,0.884182135931088
35,0,1.0
36,12,0.8609068092938558
37,2,0.939300289155567
38,3,0.6207037415731536
39,0,1.0
40,6,0.7218298830092698
41,0,0.8171956313671501
42,-1,0.0
43,12,1.0
44,25,1.0
45,25,1.0
46,0,1.0
47,12,1.0
48,-1,0.0
49,7,0.3171350708614365
50,-1,0.0
51,-1,0.0
52,-1,0.0
53,-1,0.0
54,8,0.42762090407598663
55,17,1.0
56,-1,0.0
57,-1,0.0
58,0,0.7916886224175579
59,-1,0.0
60,-1,0.0
61,17,1.0
62,1,1.0
63,1,1.0
64,1,1.0
65,1,1.0
66,-1,0.0
67,-1,0.0
68,0,1.0
69,13,1.0
70,-1,0.0
71,-1,0.0
72,-1,0.0
73,-1,0.0
74,-1,0.0
75,11,0.7425050054292073
76,0,0.8002495578174493
77,0,0.7991677625223566
78,-1,0.0
79,12,0.8776294315343816
80,0,1.0
81,6,1.0
82,13,1.0
83,-1,0.0
84,-1,0.0
85,13,1.0
86,11,1.0
87,-1,0.0
88,-1,0.0
89,2,1.0
90,-1,0.0
91,-1,0.0
92,1,1.0
93,1,1.0
94,-1,0.0
95,2,0.8650418852746736
96,0,0.5522468470807816
97,-1,0.0
98,-1,0.0
99,23,1.0
100,-1,0.0
101,-1,0.0
102,7,0.30742192666413964
103,12,0.7853309421974235
104,12,0.842878443449573
105,-1,0.0
106,-1,0.0
107,12,0.8510750327064971
108,5,1.0
109,-1,0.0
110,12,0.8194355281837092
111,6,1.0
112,22,0.4149874397990731
113,-1,0.0
114,29,1.0
115,20,0.6489893887434024
116,-1,0.0
117,-1,0.0
118,-1,0.0
119,27,1.0
120,27,1.0
121,-1,0.0
122,-1,0.0
123,-1,0.0
124,23,1.0
125,-1,0.0
126,-1,0.0
127,8,0.22294600072372894
128,1,1.0
129,4,0.9862548866244405
130,1,1.0
131,1,1.0
132,-1,0.0
133,-1,0.0
134,16,1.0
135,-1,0.0
136,0,1.0
137,-1,0.0
138,3,1.0
139,18,0.9069471902456517
140,0,0.5643540871515458
141,5,1.0
142,-1,0.0
143,-1,0.0
144,-1,0.0
145,12,1.0
146,6,0.7119551016315802
147,29,1.0
148,-1,0.0
149,-1,0.0
150,-1,0.0
151,5,0.5713003770892924
152,25,0.8302675817106906
153,7,0.6846158680641289
154,27,1.0
155,0,0.668753492633699
156,27,1.0
157,20,1.0
158,-1,0.0
159,18,0.9721081903679359
160,-1,0.0
161,29,1.0
162,12,1.0
163,1,1.0
164,5,1.0
165,1,1.0
166,0,0.7585383592482497
167,0,0.6925533151079651
168,0,0.6610916054227299
169,0,0.8052072365951002
170,-1,0.0
171,-1,0.0
172,-1,0.0
173,-1,0.0
174,6,1.0
175,24,1.0
176,0,0.8998799670077485
177,2,0.9244382921367312
178,5,1.0
179,5,0.7470128947989184
180,-1,0.0
181,-1,0.0
182,0,0.8187630437338086
183,2,0.726678619167063
184,7,0.3305005498838922
185,2,1.0
186,-1,0.0
187,3,1.0
188,-1,0.0
189,-1,0.0
190,-1,0.0
191,-1,0.0
192,0,0.710047334331654
193,24,1.0
194,2,1.0
195,1,1.0
196,1,1.0
197,3,0.6283028104619651
198,0,0.7306928644899943
199,-1,0.0
200,9,0.9143429097800734
201,5,1.0
202,9,0.9918140711133124
203,12,1.0
204,6,1.0
205,18,0.764471251929257
206,9,0.989251691276518
207,9,1.0
208,10,0.784091966568628
209,-1,0.0
210,29,1.0
211,6,0.6608173295247404
212,-1,0.0
213,9,1.0
214,17,1.0
215,2,0.5196304436323297
216,-1,0.0
217,18,0.8064818863130248
218,27,1.0
219,24,1.0
220,-1,0.0
221,4,0.9559814965841282
222,8,0.7915648440438816
223,18,0.8507641109968422
224,1,1.0
225,1,1.0
226,0,1.0
227,0,0.8048805451508865
228,15,0.6965765440287182
229,3,0.9522982649785308
230,2,1.0
231,-1,0.0
232,4,0.9005491901665316
233,-1,0.0
234,-1,0.0
235,0,0.5579892820630634
236,-1,0.0
237,18,1.0
238,-1,0.0
239,15,0.5580098075243707
240,-1,0.0
241,-1,0.0
242,-1,0.0
243,4,0.9686805040663061
244,18,0.9471563992728567
245,4,0.985496855399463
246,12,1.0
247,-1,0.0
248,-1,0.0
249,0,0.5589069974145281
250,6,1.0
251,4,0.8819525260761689
252,4,1.0
253,-1,0.0
254,-1,0.0
255,-1,0.0
256,-1,0.0
257,4,0.8692131395351679
258,1,1.0
259,0,1.0
260,1,1.0
261,-1,0.0
262,-1,0.0
263,12,0.8027542646032937
264,5,0.7998824881010448
265,-1,0.0
266,-1,0.0
267,-1,0.0
268,4,1.0
269,5,0.8051973387061128
270,6,1.0
271,-1,0.0
272,0,0.5435425870091574
273,26,0.9859762700480822
274,-1,0.0
275,26,1.0
276,26,1.0
277,9,1.0
278,23,1.0
279,-1,0.0
280,18,1.0
281,17,1.0
282,18,0.9811868139059471
283,8,0.38025937338615756
284,22,1.0
285,18,1.0
286,23,0.857266586628162
287,20,0.624580109227103
288,-1,0.0
289,5,0.6288274529440763
290,-1,0.0
291,1,1.0
292,1,1.0
293,-1,0.0
294,3,0.7576370694014761
295,6,0.7437256122030909
296,0,0.8737062161685784
297,-1,0.0
298,24,1.0
299,28,1.0
300,28,1.0
301,17,1.0
302,-1,0.0
303,22,0.9464980393825086
304,-1,0.0
305,9,0.9939837446094351
306,-1,0.0
307,3,0.6250154103695565
308,-1,0.0
309,-1,0.0
310,5,0.5954263707290469
311,-1,0.0
312,20,1.0
313,18,0.9889929141512571
314,24,1.0
315,-1,0.0
316,1,1.0
317,1,1.0
318,3,1.0
319,15,0.6602066967645194
320,-1,0.0
321,0,0.9728831673810198
322,0,1.0
323,24,1.0
324,24,1.0
325,0,1.0
326,1,1.0
327,1,1.0
328,1,1.0
329,22,1.0
330,3,0.9522982649785308
331,5,0.9085165929312828
332,-1,0.0
333,0,1.0
334,-1,0.0
335,-1,0.0
336,0,0.9751700952864102
337,18,0.9756695675190581
338,0,1.0
339,-1,0.0
340,12,1.0
341,-1,0.0
342,6,1.0
343,-1,0.0
344,-1,0.0
345,0,1.0
346,-1,0.0
347,-1,0.0
348,0,1.0
349,0,1.0
350,-1,0.0
351,-1,0.0
352,1,1.0
353,22,0.5126878620877454
354,-1,0.0
355,-1,0.0
356,0,0.7529506952014702
357,6,0.6721298971339055
358,6,1.0
359,-1,0.0
360,-1,0.0
361,0,1.0
362,20,0.712828523227068
363,5,1.0
364,12,1.0
365,3,0.6884409221018387
366,12,0.8205017397494568
367,-1,0.0
368,0,1.0
369,2,0.9735132053930655
370,0,1.0
371,4,0.8898460684790661
372,-1,0.0
373,-1,0.0
374,22,0.6127333338675287
375,-1,0.0
376,5,0.7314247787995566
377,20,1.0
378,20,1.0
379,5,0.7606083199118935
380,28,1.0
381,12,1.0
382,12,0.7801585866219106
383,1,1.0
384,1,1.0
385,3,0.6595116693918195
386,3,0.9522982649785308
387,3,0.8538326273948604
388,0,1.0
389,5,1.0
390,0,0.6711943323144051
391,-1,0.0
392,-1,0.0
393,2,1.0
394,-1,0.0
395,21,1.0
396,-1,0.0
397,0,1.0
398,5,0.7311575224948995
399,6,1.0
400,-1,0.0
401,0,0.41325623187568655
402,0,0.5896564036843185
403,-1,0.0
404,0,1.0
405,-1,0.0
406,0,0.5760039671451298
407,11,0.7790441247283066
408,29,1.0
409,-1,0.0
410,-1,0.0
411,-1,0.0
412,-1,0.0
413,1,1.0
414,0,1.0
415,-1,0.0
416,1,1.0
417,1,1.0
418,-1,0.0
419,12,0.7897103699405607
420,0,1.0
421,0,1.0
422,0,0.9071294413539106
423,-1,0.0
424,6,0.8044783409829597
425,-1,0.0
426,-1,0.0
427,0,0.4436178316999508
428,-1,0.0
429,25,1.0
430,-1,0.0
431,2,0.8425737756431911
432,-1,0.0
433,-1,0.0
434,-1,0.0
435,14,1.0
436,-1,0.0
437,-1,0.0
438,-1,0.0
439,11,0.6523526084980784
440,27,0.9624957498263434
441,1,1.0
442,2,0.8535125662696782
443,20,0.9623441272840313
444,1,1.0
445,1,1.0
446,1,1.0
447,0,0.4502641151363773
448,0,0.9202846180382912
449,13,1.0
450,-1,0.0
451,13,1.0
452,-1,0.0
453,-1,0.0
454,-1,0.0
455,0,0.7886524482773998
456,0,0.4521147861718783
457,10,0.8295023255079939
