topic_num,topic_label,proportion,doc_id,filename,Title,Author,Article_Type,volume,year,month,corpus,publication,proportion_pct
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.9795874495638134,1472,December_Vol5_04_Article_Salvation_for_the_Living_and_the_Dead_Joseph_F._Smith.txt,Salvation for the Living and the Dead Joseph F. Smith,,Article,Vol5,1918,December,Relief_Society_Magazine,Relief Society Magazine,97.96
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.9737131458409728,1448,December_Vol5_16_Art_We_Are_All_God_S.txt,We Are All God's Children Grace Ingles Frost,,Article,Vol5,1918,December,Relief_Society_Magazine,Relief Society Magazine,97.37
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.9638360605978584,1093,January_Vol7_02_Article_Edna_May_Davis.txt,Edna May Davis,,Article,Vol7,1920,January,Relief_Society_Magazine,Relief Society Magazine,96.38
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.9528908007304016,4012,January_Vol6_06_Vision_of_the_Redemption_of_the_Dead.txt,of the Redemption of the Dead,Joseph F. Smith,Article,Vol6,1919,January,Relief_Society_Magazine,Relief Society Magazine,95.29
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.9430967339326212,332,WE_Vol37_1908_Issue2_006_A_BLESSING_PENNED_LONG_AGO.txt,A BLESSING PENNED LONG AGO.,Unknown,Article,Vol37,1908,WE,Womans_Exponent,Woman's Exponent,94.31
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.9351436719978142,1488,October_Vol10_05a_Article_President_Grants_Dedicatory_Prayer.txt,President Grants Dedicatory Prayer,,Article,Vol10,1923,October,Relief_Society_Magazine,Relief Society Magazine,93.51
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.9319782870153877,1225,June_Vol5_14_Article_Apostle_Richard_R._Lyman_and_Family.txt,Apostle Richard R. Lyman and Family,,Article,Vol5,1918,June,Relief_Society_Magazine,Relief Society Magazine,93.2
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.9170109785890549,3577,December_Vol5_03b_Article_Salvation_for_the_Living_and_the_Dead.txt,Salvation for the Living and the Dead,Joseph F. Smith,Article,Vol5,1918,December,Relief_Society_Magazine,Relief Society Magazine,91.7
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.9117293975589469,2992,"July_Vol4_06_Article_Object,_Origin_and_Destiny_of_Women_Prest._John_Taylor.txt","Object, Origin and Destiny of Women Prest. John Taylor",,Article,Vol4,1917,July,Relief_Society_Magazine,Relief Society Magazine,91.17
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.9103559581103228,3754,WE_Vol33_1904_Issue3_007_A_STRONG_TESTIMONY.txt,A STRONG TESTIMONY.,"SARAH B. LAYTON,",Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,91.04
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.9058541344943423,1554,December_Vol10_07b_Guide_Lessons_Guide_Lessons_for_February_a_a.txt,Guide Lessons for February,,Guide,Vol10,1923,December,Relief_Society_Magazine,Relief Society Magazine,90.59
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.899511621011377,3070,"November_Vol8_04_Article_Origin,_Object_and_Destiny_of_Women.txt","Origin, Object and Destiny of Women",,Article,Vol8,1921,November,Relief_Society_Magazine,Relief Society Magazine,89.95
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.8934252122841447,1261,January_Vol10_18b_Guide_Lessons_Work_and_Business.txt,Work and Business,,Guide,Vol10,1923,January,Relief_Society_Magazine,Relief Society Magazine,89.34
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.8879652051253946,3206,February_Vol9_09_Poem_A_Prayer_of_Gratitude_Matilda_K._Galloway.txt,A Prayer of Gratitude Matilda K. Galloway,,Article,Vol9,1922,February,Relief_Society_Magazine,Relief Society Magazine,88.8
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.8840629002730235,2050,October_Vol4_01_Poem_I_Ought_to_Know_Annie_D._Palmer.txt,I Ought to Know Annie D. Palmer,Annie D. Palmer,Article,Vol4,1917,October,Relief_Society_Magazine,Relief Society Magazine,88.41
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.8792354048490819,1556,October_Vol10_14b_Guide_Lessons_Guide_Lessons_for_December_-_Lesson_I_-_Theology_Lesson_-_Th.txt,Guide Lessons for December - Lesson I - Theology Lesson - Th,,Guide,Vol10,1923,October,Relief_Society_Magazine,Relief Society Magazine,87.92
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.8768905243827224,2993,September_Vol6_06b_Article_Objections_to_Temple_Work.txt,Objections to Temple Work,,Article,Vol6,1919,September,Relief_Society_Magazine,Relief Society Magazine,87.69
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.876446551212872,1553,December_Vol10_07b_Guide_Lessons_Guide_Lessons_for_February_b.txt,Guide Lessons for February,,Guide,Vol10,1923,December,Relief_Society_Magazine,Relief Society Magazine,87.64
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.8711300653773985,1619,April_Vol2_10a_Guide_Lessons_Guide_Lessons_-_Theology_and_Testimony_Baptism.txt,Guide Lessons - Theology and Testimony Baptism,,Guide,Vol2,1915,April,Relief_Society_Magazine,Relief Society Magazine,87.11
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.8648292076556447,1567,July_Vol10_08e_Guide_Lessons_Guide_Lessons_for_September_a.txt,Guide Lessons for September,,Guide,Vol10,1923,July,Relief_Society_Magazine,Relief Society Magazine,86.48
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.8631047025602576,1587,September_Vol9_14a_Guide_Lessons_LESSON_I_-_Theology_and_Testimony_-_MIRACLESPART_IITHE_MIRAC.txt,LESSON I - Theology and Testimony - MIRACLESPART IITHE MIRAC,,Guide,Vol9,1922,September,Relief_Society_Magazine,Relief Society Magazine,86.31
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.8604797318646882,1568,July_Vol10_11a_Guide_Lessons_Guide_Lessons_for_September_c_c_c_c_a.txt,Guide Lessons for September,,Guide,Vol10,1923,July,Relief_Society_Magazine,Relief Society Magazine,86.05
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.8593026540230034,1707,October_Vol10_04_Article_President_Heber_J._Grant_(Portrait).txt,President Heber J. Grant (Portrait),,Article,Vol10,1923,October,Relief_Society_Magazine,Relief Society Magazine,85.93
2,Topic 2: Gospel Doctrine & Spiritual Kingdom,0.857702892052256,81,WE_Vol33_1904_Issue11_022_ANN_T_WALKER.txt,ANN T. WALKER.,"ANN T. WALKER,",Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,85.77
3,Topic 3: Education,0.9742674646149935,793,July_Vol3_08_Article_Crochet_Centerpiece_Isabel_Whitney_Sears.txt,Crochet Centerpiece Isabel Whitney Sears,,Article,Vol3,1916,July,Relief_Society_Magazine,Relief Society Magazine,97.43
3,Topic 3: Education,0.9291022054208014,795,May_Vol3_09_Article_Crocheted_Yoke_Isabel_Whitney_Sears.txt,Crocheted Yoke Isabel Whitney Sears,,Article,Vol3,1916,May,Relief_Society_Magazine,Relief Society Magazine,92.91
3,Topic 3: Education,0.9122566204287993,2996,WE_Vol33_1904_Issue2_037_OBSTETRICS.txt,OBSTETRICS,Unknown,Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,91.23
3,Topic 3: Education,0.9116642730982609,2995,WE_Vol33_1904_Issue3_025_OBSTETRICS.txt,OBSTETRICS,Unknown,Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,91.17
3,Topic 3: Education,0.886411201512811,479,WE_Vol33_1904_Issue3_029_CLASS_IN_MIDWIFERY.txt,CLASS IN MIDWIFERY,Unknown,Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,88.64
3,Topic 3: Education,0.8811934015092268,477,WE_Vol32_1903_Issue8_026_CLASS_IN_MIDWIFERY.txt,CLASS IN MIDWIFERY,Unknown,Article,Vol32,1903,WE,Womans_Exponent,Woman's Exponent,88.12
3,Topic 3: Education,0.8758159792913103,2999,WE_Vol38_1909_Issue2_021_OBSTETRIC_SCHOOL.txt,OBSTETRIC SCHOOL.,DR. MARGARET C. ROBERTS,Article,Vol38,1909,WE,Womans_Exponent,Woman's Exponent,87.58
3,Topic 3: Education,0.8736443620368987,2952,WE_Vol32_1903_Issue11_024_AND_NURSING.txt,AND NURSING.,Unknown,Article,Vol32,1903,WE,Womans_Exponent,Woman's Exponent,87.36
3,Topic 3: Education,0.8681368250523742,2951,WE_Vol33_1904_Issue1_036_AND_NURSING.txt,AND NURSING.,Unknown,Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,86.81
3,Topic 3: Education,0.8436126095511771,42,WE_Vol40_1911_Issue2_015_MISS_ALICE_LOUISE_REYNOLDS.txt,Miss Alice Louise Reynolds,Unknown,Article,Vol40,1911,WE,Womans_Exponent,Woman's Exponent,84.36
3,Topic 3: Education,0.8395374936881849,2994,WE_Vol33_1904_Issue1_033_OBSTETRICS.txt,OBSTETRICS,Unknown,Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,83.95
3,Topic 3: Education,0.8382050233246465,2275,V1_1914_Nov_05_Lit_Literature.txt,Literature,,Literature,Vol1,1914,November,Relief_Society_Magazine,Relief Society Magazine,83.82
3,Topic 3: Education,0.8332315748950154,794,August_Vol3_07_Article_Crochet_Nut_Basket_Isabel_W._Sears.txt,Crochet Nut Basket Isabel W. Sears,Basket Isabel W. Sears,Article,Vol3,1916,August,Relief_Society_Magazine,Relief Society Magazine,83.32
3,Topic 3: Education,0.8286958871797392,398,WE_Vol33_1904_Issue6_014_MRS_CANDLAND.txt,MRS. CANDLAND.,WOMAN’S EXPONENT,Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,82.87
3,Topic 3: Education,0.8175972346559734,2997,WE_Vol40_1911_Issue1_029_OBSTETRICS.txt,OBSTETRICS,WOMAN’S EXPONENT,Article,Vol40,1911,WE,Womans_Exponent,Woman's Exponent,81.76
3,Topic 3: Education,0.8113586304175808,3558,WE_Vol39_1910_Issue1_027_DR_ROBERTS_SCHOOL_OF_NURSING.txt,DR ROBERTS’ SCHOOL OF NURSING,"MARGARET C. ROBERTS, M. D.,",Article,Vol39,1910,WE,Womans_Exponent,Woman's Exponent,81.14
3,Topic 3: Education,0.8050770269668321,2399,November_Vol8_02_Article_My_Dixie_Home_President_A._W._Ivins.txt,My Dixie Home President A. W. Ivins,,Article,Vol8,1921,November,Relief_Society_Magazine,Relief Society Magazine,80.51
3,Topic 3: Education,0.7908778289889996,1123,WE_Vol35_1906_Issue5_028_DR_ELLIS_R_SHIPP.txt,DR. ELLIS R. SHIPP,Unknown,Article,Vol35,1906,WE,Womans_Exponent,Woman's Exponent,79.09
