Topic,Label,Coefficient,SE,P_value,Direction
4,Home-Making and Recipes,-0.1775341890478128,0.04703081052328395,1.6231423393616573e-4,MORE in Relief_Society_Magazine
5,Genealogy,-0.08763015140861972,0.03292100108958172,0.0078012615445445434,MORE in Relief_Society_Magazine
6,Moral Education & Character Development,-0.1836635005452943,0.04350857634500472,2.4801069672484137e-5,MORE in Relief_Society_Magazine
7,Relief Society Conference Reports ,0.17404207367025945,0.0551512636153115,0.0016123246610998858,MORE in Womans_Exponent
8,World News and Women's Rights Reports,0.1123539098518884,0.04412492813689076,0.010923522198249868,MORE in Womans_Exponent
10,Poetry,0.1402152107395274,0.05335927079704645,0.008626223543231766,MORE in Womans_Exponent
