topic_num,topic_label,proportion,doc_id,filename,Title,Author,Article_Type,volume,year,month,corpus,publication,proportion_pct
1,Topic 1: Advertisements,0.9963288266769156,4377,August_Vol8_Misc.txt,August Vol8 Misc,,Misc,Vol8,1921,August,Relief_Society_Magazine,Relief Society Magazine,99.63
1,Topic 1: Advertisements,0.9954265742473528,4357,April_Vol8_Misc.txt,April Vol8 Misc,,Misc,Vol8,1921,April,Relief_Society_Magazine,Relief Society Magazine,99.54
1,Topic 1: Advertisements,0.9953438104189006,2959,April_Vol2_Misc.txt,April Vol2 Misc,,Misc,Vol2,1915,April,Relief_Society_Magazine,Relief Society Magazine,99.53
1,Topic 1: Advertisements,0.9953266884817255,4495,May_Vol8_Misc.txt,May Vol8 Misc,,Misc,Vol8,1921,May,Relief_Society_Magazine,Relief Society Magazine,99.53
1,Topic 1: Advertisements,0.9940940958211137,2664,V1_1914_May_00_Misc.txt,V1 1914 May 00 Misc,,Misc,Vol1,1914,May,Relief_Society_Magazine,Relief Society Magazine,99.41
1,Topic 1: Advertisements,0.9940903706589005,3311,March_Vol3_Misc.txt,March Vol3 Misc,,Misc,Vol3,1916,March,Relief_Society_Magazine,Relief Society Magazine,99.41
1,Topic 1: Advertisements,0.9934397839237112,3597,November_Vol4_Misc.txt,November Vol4 Misc,,Misc,Vol4,1917,November,Relief_Society_Magazine,Relief Society Magazine,99.34
1,Topic 1: Advertisements,0.992807415893488,4746,October_Vol9_03_Article_Dallin's_Gift_of_Massassoit_to_Utah_Alice_Merrill_Horne.txt,Dallin's Gift of Massassoit to Utah Alice Merrill Horne,,Article,Vol9,1922,October,Relief_Society_Magazine,Relief Society Magazine,99.28
1,Topic 1: Advertisements,0.9927893573364767,3172,April_Vol3_Misc.txt,April Vol3 Misc,,Misc,Vol3,1916,April,Relief_Society_Magazine,Relief Society Magazine,99.28
1,Topic 1: Advertisements,0.9926414276471709,4458,June_Vol8_Misc.txt,June Vol8 Misc,,Misc,Vol8,1921,June,Relief_Society_Magazine,Relief Society Magazine,99.26
1,Topic 1: Advertisements,0.9921819556515391,3497,January_Vol4_Misc.txt,January Vol4 Misc,,Misc,Vol4,1917,January,Relief_Society_Magazine,Relief Society Magazine,99.22
1,Topic 1: Advertisements,0.9920720089679298,2980,August_Vol2_Misc.txt,August Vol2 Misc,,Misc,Vol2,1915,August,Relief_Society_Magazine,Relief Society Magazine,99.21
1,Topic 1: Advertisements,0.9920553509045594,3370,October_Vol3_Misc.txt,October Vol3 Misc,,Misc,Vol3,1916,October,Relief_Society_Magazine,Relief Society Magazine,99.21
1,Topic 1: Advertisements,0.9918753611830416,4566,April_Vol9_Misc_front_matter.txt,matter,,Article,Vol9,1922,April,Relief_Society_Magazine,Relief Society Magazine,99.19
1,Topic 1: Advertisements,0.9910763572304776,4695,March_Vol9_Misc_front_matter.txt,matter,,Article,Vol9,1922,March,Relief_Society_Magazine,Relief Society Magazine,99.11
