topic_num,label,prevalence_pct,frex_words,prob_words
1,Community Celebrations,5.39,"stanza, hymn, poem, birthday, guest, poetry, refreshment, tableau, anniversary, entertainment, musical, decorate, song, hostess, singer","hymn, music, give, song, day, sing, poem, home, write, old, much, book, guest, well, party"
2,Gospel Doctrine & Spiritual Kingdom,12.02,"repentance, gospel, prophet, faith, ordinance, revelation, salvation, lord, covenant, eternal, truth, spiritual, god, spirit, commandment","god, man, lord, great, say, can, life, come, much, spirit, good, father, know, prophet, world"
3,Education,9.61,"loop, franklins, dixie, altemus, graduate, regent, crowell, zina, franklin, hook, nightingale, missouri, blackwell, university, barton","year, woman, much, young, many, first, home, great, time, work, life, good, make, school, family"
4,Home-Making and Recipes,8.93,"bleach, bldg, undertaker, directory, mcconahay, jeweler, unbleached, daynesbeebe, tablespoon, utahidaho, lisle, syrup, stationery, cotton, phone","good, make, use, main, street, south, book, weight, much, home, can, water, cotton, food, fruit"
5,Genealogy,4.6,"anglosaxons, surname, hebrew, jacob, jew, tribe, jerusalem, nephites, celt, roman, ancestor, ancient, saxons, tribal, jewish","book, people, name, lesson, much, time, great, record, first, come, land, story, make, man, give"
6,Moral Education & Character Development,9.93,"disease, physical, habit, normal, health, moral, germ, tendency, income, essential, budget, recreation, avoid, cleanliness, hygiene","child, much, good, home, work, make, life, can, give, must, mother, woman, lesson, health, time"
7,Relief Society Conference Reports ,18.22,"standring, colton, dixon, harker, stake, counselor, adjourn, benediction, conference, obituary, sis, cts, preside, selor, bathsheba","stake, work, good, conference, meet, give, report, speak, counselor, member, smith, hold, mother, year, make"
8,World News and Women's Rights Reports,9.5,"affiliate, sewall, congress, international, delegate, suffrage, league, convention, council, legislature, election, vote, voter, germany, quinquennial","woman, state, unite, war, much, make, great, council, new, national, year, man, committee, hold, work"
9,Serialized Fiction & Stories,7.88,"jerry, rhea, walter, jim, aint, cant, wagon, didnt, yes, grandma, couldnt, tom, ive, wont, cheevers","mother, can, good, come, say, much, little, time, see, get, take, make, know, day, think"
10,Poetry,13.93,"mardan, sarai, abram, nimrod, oer, princess, terah, neath, brow, woe, tread, thine, oft, iscah, gaze","love, life, heart, god, come, day, see, much, now, know, can, long, light, soul, good"
