doc_id,filename,Title,Author,Article_Type,volume,year,month,corpus,publication,dominant_topic,topic_label,proportion_pct,strong_exemplar
1057,WE_Vol37_1908_Issue7_017_EDITORIAL_NOTES.txt,Editorial Notes,Unknown,Editorial,Vol37,1908,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,65.3,TRUE
1241,WE_Vol39_1910_Issue2_024_A_FAVORITE_SONGSTRESS.txt,A Favorite Songstress,Unknown,Article,Vol39,1910,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,65,TRUE
3580,WE_Vol40_1911_Issue7_013_MRS_SARAH_K_BRIDGE_HONORED.txt,MRS. SARAH K. BRIDGE HONORED.,WOMAN’S EXPONENT,Article,Vol40,1911,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,64.5,TRUE
2165,March_Vol8_11c_Guide_Lessons_Literature_-_Emmeline_B_Wells_Poems.txt,Literature - Emmeline B Wells Poems,,Guide,Vol8,1921,March,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,64.1,TRUE
1932,WE_Vol35_1906_Issue3_014_AN_INTERESTING_ENTERTA1NNENT.txt,AN INTERESTING ENTERTA1NNENT.,Unknown,Article,Vol35,1906,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,63.4,TRUE
3770,March_Vol5_22_Poem_Invocation.txt,Invocation,,Poem,Vol5,1918,March,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,62,TRUE
1022,WE_Vol34_1905_Issue6_016_EDITORIAL_NOTES.txt,EDITORIAL NOTES.,Unknown,Editorial,Vol34,1905,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,61.9,TRUE
1183,WE_Vol34_1905_Issue9_007_ERRATA.txt,Errata,"Lydia D. Alder, in the fourth verse,",Article,Vol34,1905,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,61.2,TRUE
3030,WE_Vol32_1903_Issue10_016_AN_OLD_LADIES_PARTY.txt,AN OLD LADIES' PARTY.,Unknown,Article,Vol32,1903,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,61.2,TRUE
1841,WE_Vol33_1904_Issue8_009_D_R_S_HONOR_WASHINGTON_S_BIRTHDAY.txt,D. R’S. HONOR WASHINGTON’S BIRTHDAY.,Unknown,Article,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,60.8,TRUE
1174,February_Vol4_09_Article_February_Entertainment_Morag.txt,February Entertainment Morag,,Article,Vol4,1917,February,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,60.6,TRUE
3167,October_Vol2_02_Article_The_Place_of_Music_in_Ward_and_Stake_Relief_Society_Lucy_May.txt,The Place of Music in Ward and Stake Relief Society Lucy May,,Article,Vol2,1915,October,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,60.5,TRUE
3221,WE_Vol36_1907_Issue6_014_A_PRETTY_HOME_WEDDING.txt,A PRETTY HOME WEDDING.,Unknown,Article,Vol36,1907,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,60,TRUE
3688,WE_Vol33_1904_Issue6_012_RELIEF_SOCIETY_SOCIAL.txt,Relief Society Social,Unknown,Relief Society Report,Vol33,1904,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,59.7,TRUE
3769,February_Vol9_13_Article_Suggestive_Program_Lucy_May_Green.txt,Suggestive Program Lucy May Green,,Article,Vol9,1922,February,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,59.6,TRUE
3131,WE_Vol41_1912_Issue14_012_PRESIDENT_PENROSE.txt,President Penrose,Unknown,Article,Vol41,1912,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,58.5,TRUE
2697,March_Vol4_10_Article_The_Music_Page.txt,The Music Page,,Article,Vol4,1917,March,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,58.3,TRUE
3181,WE_Vol32_1903_Issue12_016_A_PLEASANT_PARTY.txt,A Pleasant Party,Unknown,Article,Vol32,1903,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,57.9,TRUE
2696,October_Vol2_01_Article_Music_in_the_Church_and_in_the_Relief_Society.txt,Music in the Church and in the Relief Society,Relief Society,Article,Vol2,1915,October,Relief_Society_Magazine,Relief Society Magazine,1,Topic 1: Community Celebrations,57.7,TRUE
3179,WE_Vol32_1903_Issue5_012_A_PLEASANT_AFTERNOON.txt,A Pleasant Afternoon,Unknown,Article,Vol32,1903,WE,Womans_Exponent,Woman's Exponent,1,Topic 1: Community Celebrations,57.7,TRUE
