topic_num,label,category,evolution_type,we_pct,rsm_pct,Significant,Difference_Pct,P_value
1,Advertisements,RSM Signature,RSM Distinctive,1.641278307157034,11.7552025650319,TRUE,-18.5,4.175957174523443e-5
2,Relief Society Meeting Reports,WE Signature,WE Distinctive,17.99730858854157,0.7114902706447197,TRUE,12.89,0.0023553737452905745
3,Relief Society Leadership & Organization,RSM Signature,RSM Distinctive,2.48512083677215,8.607667809213817,TRUE,-7.42,0.04491928004173926
4,Household Management & Budgeting,Shared (WE-leaning),Stable Core,5.262930341507042,3.7278490927839094,FALSE,2.3,0.5365771748282679
5,War News & Commentary,RSM Signature,Stable Core,0.9527986221142865,6.888515450245215,FALSE,1.27,0.6991023192836607
6,Gospel Doctrine & Spiritual Kingdom,Shared (RSM-leaning),Stable Core,7.633194708076904,11.704002796343657,FALSE,-3.91,0.3410071071748427
7,Genealogy and Religious History,RSM Signature,RSM Distinctive,1.74943024131989,7.644800389317477,TRUE,-17.06,9.21426757235308e-6
8,Moral Education & Character Development,Shared (RSM-leaning),Shifting Emphasis,6.1789653075291415,9.817402947272077,TRUE,-14.46,0.0016247955481252358
9,Obituaries & Tributes,WE Signature,WE Distinctive,15.823341217369915,3.69418477135189,TRUE,10.43,0.014343694850551078
10,Recipes & Cooking Instructions,RSM Signature,RSM Distinctive,0.7589321053549344,6.157272159501437,TRUE,-8.16,0.03362765449558796
11,Nauvoo and Pioneer Legacy,Shared (WE-leaning),Stable Core,5.5158841293625676,3.8022027207340527,FALSE,5.67,0.06396996338060938
12,Serialized Fiction and Poetry,Shared (Balanced),Shifting Emphasis,12.299563621357647,12.834340263493624,TRUE,15.12,0.006394270124719221
13,Fictional Stories,RSM Signature,RSM Distinctive,1.46725067837484,7.461485851289365,TRUE,8.55,0.01506332045218454
14,Women's Suffrage & Political Rights,WE Signature,WE Distinctive,11.825049884773293,2.2889419336983146,TRUE,12.3,8.229452944168774e-4
15,Community Celebrations and Social Report,WE Signature,Stable Core,8.408951410388783,2.9046409790785455,FALSE,1.02,0.7331385803057149
