doc_id,filename,Title,Author,Article_Type,volume,year,month,corpus,publication,dominant_topic,topic_label,proportion_pct,strong_exemplar
4210,February_Vol7_11_Article_The_Official_Round_Table.txt,The Official Round Table,,Article,Vol7,1920,February,Relief_Society_Magazine,Relief Society Magazine,3,Topic 3: Relief Society Leadership & Organization,86.3,TRUE
4642,January_Vol9_17_Article_To_Stake_Teacher-Training_Supervisors.txt,To Stake Teacher-Training Supervisors,,Article,Vol9,1922,January,Relief_Society_Magazine,Relief Society Magazine,3,Topic 3: Relief Society Leadership & Organization,85.8,TRUE
3820,May_Vol5_11_Notes_from_Field_NOTES_FROM_THE_FIELD.txt,from Field NOTES FROM THE FIELD,,Notes from Field,Vol5,1918,May,Relief_Society_Magazine,Relief Society Magazine,3,Topic 3: Relief Society Leadership & Organization,85.7,TRUE
2776,February_Vol10_13a_Notes_from_Field_Notes_From_the_Field.txt,from Field Notes From the Field,,Notes from Field,Vol10,1923,February,Relief_Society_Magazine,Relief Society Magazine,3,Topic 3: Relief Society Leadership & Organization,85.4,TRUE
4011,June_Vol6_15a_Notes_from_Field_The_Official_Round_Table.txt,from Field The Official Round Table,,Notes from Field,Vol6,1919,June,Relief_Society_Magazine,Relief Society Magazine,3,Topic 3: Relief Society Leadership & Organization,85.4,TRUE
2879,May_Vol10_21_Notes_from_Field_Notes_From_the_Field_Amy_Brown_Lyman.txt,from Field Notes From the Field Amy Brown Lyman,Amy Brown Lyman,Notes from Field,Vol10,1923,May,Relief_Society_Magazine,Relief Society Magazine,3,Topic 3: Relief Society Leadership & Organization,85,TRUE
2696,V1_1914_Oct_09_Art_ANNOUNCEMENT.txt,ANNOUNCEMENT.,Issue,Article,Vol1,1914,October,Relief_Society_Magazine,Relief Society Magazine,3,Topic 3: Relief Society Leadership & Organization,84.5,TRUE
2736,August_Vol10_08a_Notes_from_Field_Notes_From_the_Field_a_a_a_a_a.txt,from Field Notes From the Field a a a a a,Amy Brown Lyman,Notes from Field,Vol10,1923,August,Relief_Society_Magazine,Relief Society Magazine,3,Topic 3: Relief Society Leadership & Organization,84.4,TRUE
4755,October_Vol9_12_Notes_from_Field_Notes_from_the_Field_Amy_Brown_Lyman.txt,from Field Notes from the Field Amy Brown Lyman,Amy Brown Lyman,Notes from Field,Vol9,1922,October,Relief_Society_Magazine,Relief Society Magazine,3,Topic 3: Relief Society Leadership & Organization,84.1,TRUE
3693,December_Vol5_15_Article_General_Conference_of_Relief_Society_Amy_Brown_Lyman.txt,General Conference of Relief Society,Relief Society,Article,Vol5,1918,December,Relief_Society_Magazine,Relief Society Magazine,3,Topic 3: Relief Society Leadership & Organization,83.6,TRUE
