Topic,Label,Difference,SE,P_value,Significant,Difference_Pct,Direction
1,Advertisements,-0.18495346031766,0.04509225718349332,4.175957174523443e-5,TRUE,-18.5,More in Relief Society Magazine
7,Genealogy and Religious History,-0.1706402531826741,0.03843206882266943,9.21426757235308e-6,TRUE,-17.06,More in Relief Society Magazine
12,Serialized Fiction and Poetry,0.1512358223409476,0.05543521258275185,0.006394270124719221,TRUE,15.12,More in Woman's Exponent
8,Moral Education & Character Development,-0.1446171452062975,0.04586104073018263,0.0016247955481252358,TRUE,-14.46,More in Relief Society Magazine
2,Relief Society Meeting Reports,0.12892508368859543,0.04236636780568069,0.0023553737452905745,TRUE,12.89,More in Woman's Exponent
14,Women's Suffrage & Political Rights,0.12303153622873896,0.036755700656608305,8.229452944168774e-4,TRUE,12.3,More in Woman's Exponent
9,Obituaries & Tributes,0.1042633478639915,0.04256493894310433,0.014343694850551078,TRUE,10.43,More in Woman's Exponent
13,Fictional Stories,0.08552226332898284,0.035168184942401745,0.01506332045218454,TRUE,8.55,More in Woman's Exponent
10,Recipes & Cooking Instructions,-0.08161221724224398,0.038402602190177305,0.03362765449558796,TRUE,-8.16,More in Relief Society Magazine
3,Relief Society Leadership & Organization,-0.07419546613222887,0.0369871062591759,0.04491928004173926,TRUE,-7.42,More in Relief Society Magazine
11,Nauvoo and Pioneer Legacy,0.056725536638368886,0.030615194711874322,0.06396996338060938,FALSE,5.67,No significant difference
6,Gospel Doctrine & Spiritual Kingdom,-0.03905182474673395,0.041008746052380626,0.3410071071748427,FALSE,-3.91,No significant difference
4,Household Management & Budgeting,0.022990720249727793,0.037199059386012076,0.5365771748282679,FALSE,2.3,No significant difference
5,War News & Commentary,0.012729480930253867,0.032930345565043206,0.6991023192836607,FALSE,1.27,No significant difference
15,Community Celebrations and Social Report,0.010247414829243691,0.030053261250409802,0.7331385803057149,FALSE,1.02,No significant difference
