Poem Rename Log - Vols 30-40
[high] VolVol32_1945 November: November_Vol32_24_Article_The_Faith_I_Robinson.txt -> November_Vol32_24_Poem_The_Faith_I_Robinson.txt
[medium] VolVol32_1945 November: November_Vol32_30_Article_Prayer_of_Wangsgaard.txt -> November_Vol32_30_Poem_Prayer_of_Wangsgaard.txt
[high] VolVol32_1945 October: October_Vol32_01_Frontispiece_Walk_down_a_Road_in_Frontispiece.txt -> October_Vol32_01_Poem_Walk_down_a_Road_in_Frontispiece.txt
[high] VolVol32_1945 October: October_Vol32_03_Article_Prayer_Bliss.txt -> October_Vol32_03_Poem_Prayer_Bliss.txt
[medium] VolVol32_1945 October: October_Vol32_10_Article_October_Parry.txt -> October_Vol32_10_Poem_October_Parry.txt
[medium] VolVol32_1945 October: October_Vol32_21_Article_Patterns_Norma_Wrathall.txt -> October_Vol32_21_Poem_Patterns_Norma_Wrathall.txt
[high] VolVol32_1945 September: September_Vol32_01_Frontispiece_Bear_Lake_Frontispiece.txt -> September_Vol32_01_Poem_Bear_Lake_Frontispiece.txt
[medium] VolVol32_1945 September: September_Vol32_15_Article_The_Jemmett.txt -> September_Vol32_15_Poem_The_Jemmett.txt
[high] VolVol32_1945 September: September_Vol32_22_Article_Hollyhocks_Leitner.txt -> September_Vol32_22_Poem_Hollyhocks_Leitner.txt
[medium] VolVol32_1945 September: September_Vol32_26_Article_My_Kitchen_Hendrickson.txt -> September_Vol32_26_Poem_My_Kitchen_Hendrickson.txt
[medium] VolVol33_1946 April: April_Vol33_08_Article_Remembering_Redd.txt -> April_Vol33_08_Poem_Remembering_Redd.txt
[high] VolVol33_1946 August: August_Vol33_10_Article_Jessie_Miller_Robinson.txt -> August_Vol33_10_Poem_Jessie_Miller_Robinson.txt
[medium] VolVol33_1946 August: August_Vol33_24_Article_Iris_Schow.txt -> August_Vol33_24_Poem_Iris_Schow.txt
[high] VolVol33_1946 December: December_Vol33_01_Frontispiece_The_Traveler.txt -> December_Vol33_01_Poem_The_Traveler.txt
[high] VolVol33_1946 December: December_Vol33_07_Article_Christmas-Eve_Morris.txt -> December_Vol33_07_Poem_Christmas-Eve_Morris.txt
[medium] VolVol33_1946 December: December_Vol33_16_Article_Dressing_a_Parry.txt -> December_Vol33_16_Poem_Dressing_a_Parry.txt
[high] VolVol33_1946 December: December_Vol33_20_Article_Precious_Trone.txt -> December_Vol33_20_Poem_Precious_Trone.txt
[medium] VolVol33_1946 February: February_Vol33_03_Article_Mormonism_in_the_Eyes_of_Clark.txt -> February_Vol33_03_Poem_Mormonism_in_the_Eyes_of_Clark.txt
[medium] VolVol33_1946 January: January_Vol33_06_Article_I_Shall_Be_Late_Second_Madsen.txt -> January_Vol33_06_Poem_I_Shall_Be_Late_Second_Madsen.txt
