Publication,Initials,Articles,Resembles (probable),Agreement,Mean confidence,Threshold,Also possible,Years
Woman's Exponent,M. F. C.,2,Ellis R. Shipp,50%,0.582,Balanced,Eliza R. Snow,1898–1899
Woman's Exponent,M. H. T.,2,Lydia D. Alder,50%,0.653,Balanced,Emmeline B. Wells,1885–1888
Woman's Exponent,M. I. A.,2,Ellis R. Shipp,50%,0.59,Balanced,Hannah T. King,1887–1889
Woman's Exponent,M. S.,2,Helen Mar Whitney,50%,0.989,Conservative,Emmeline B. Wells,1877–1885
Woman's Exponent,M. T.,2,Hannah T. King,50%,0.799,Balanced,Mary Ellen Kimball,1875–1876
Woman's Exponent,N. Y.,2,Eliza R. Snow,100%,0.875,Conservative,NA,1886–1887
Woman's Exponent,O. S.,2,Lydia D. Alder,50%,0.325,Below threshold,M. J. Tanner,1881–1907
Woman's Exponent,S. A. S.,2,Mary Ellen Kimball,50%,0.306,Below threshold,Helen Mar Whitney,1884–1893
Woman's Exponent,S. G. R.,2,Mary Ellen Kimball,50%,0.532,Below threshold,Helen Mar Whitney,1881–1890
Woman's Exponent,A. A.,1,Augusta Joyce Crocheron,100%,0.322,Below threshold,NA,1894–1894
Woman's Exponent,A. B. C.,1,L. M. Hewlings,100%,0.432,Below threshold,NA,1875–1875
Woman's Exponent,A. B. D.,1,Hannah T. King,100%,0.544,Below threshold,NA,1875–1875
Woman's Exponent,A. BS.,1,L. M. Hewlings,100%,0.743,Balanced,NA,1873–1873
Woman's Exponent,A. C. M.,1,Lydia D. Alder,100%,0.797,Balanced,NA,1896–1896
Woman's Exponent,A. C. W.,1,Emily Hill Woodmansee,100%,0.413,Below threshold,NA,1890–1890
Woman's Exponent,A. E. A.,1,Hannah T. King,100%,0.809,Conservative,NA,1889–1889
Woman's Exponent,A. E. F.,1,Emily B. Spencer,100%,0.444,Below threshold,NA,1902–1902
Woman's Exponent,A. E. G.,1,Mary Ann M. Pratt,100%,0.758,Balanced,NA,1885–1885
Woman's Exponent,A. E. L.,1,Augusta Joyce Crocheron,100%,0.851,Conservative,NA,1889–1889
Woman's Exponent,A. E. N. R.,1,Hannah T. King,100%,0.994,Conservative,NA,1881–1881
Woman's Exponent,A. F.,1,Eliza R. Snow,100%,0.366,Below threshold,NA,1881–1881
Woman's Exponent,A. I. C.,1,Mary Ellen Kimball,100%,0.88,Conservative,NA,1873–1873
Woman's Exponent,A. I. E.,1,Emily Hill Woodmansee,100%,0.42,Below threshold,NA,1901–1901
Woman's Exponent,A. L. C.,1,Zina D. H. Young,100%,0.79,Balanced,NA,1897–1897
Woman's Exponent,A. L. F.,1,Hannah T. King,100%,0.978,Conservative,NA,1877–1877
Woman's Exponent,A. L. M.,1,Mary Ellen Kimball,100%,0.678,Balanced,NA,1899–1899
Woman's Exponent,A. N.,1,Helen Mar Whitney,100%,0.471,Below threshold,NA,1888–1888
Woman's Exponent,A. N. B.,1,Zina D. H. Young,100%,0.967,Conservative,NA,1889–1889
Woman's Exponent,A. O. S.,1,Emmeline B. Wells,100%,0.708,Balanced,NA,1895–1895
Woman's Exponent,A. P.,1,Augusta Joyce Crocheron,100%,1,Conservative,NA,1883–1883
Woman's Exponent,A. Q.,1,Lydia D. Alder,100%,0.435,Below threshold,NA,1879–1879
Woman's Exponent,A. R. K.,1,Zina D. H. Young,100%,0.967,Conservative,NA,1884–1884
Woman's Exponent,A. S. B.,1,Ellis R. Shipp,100%,0.574,Balanced,NA,1891–1891
Woman's Exponent,A. S. W.,1,Lydia D. Alder,100%,0.899,Conservative,NA,1902–1902
Woman's Exponent,A. T.,1,Mary Ann M. Pratt,100%,0.513,Below threshold,NA,1887–1887
Woman's Exponent,A. T. C.,1,Hannah T. King,100%,0.992,Conservative,NA,1889–1889
Woman's Exponent,A. W.,1,Hannah T. King,100%,0.643,Balanced,NA,1877–1877
Woman's Exponent,AW. C.,1,Emmeline B. Wells,100%,0.981,Conservative,NA,1909–1909
Woman's Exponent,B. C. D.,1,Helen Mar Whitney,100%,0.573,Balanced,NA,1875–1875
Woman's Exponent,B. F. C.,1,Emmeline B. Wells,100%,0.913,Conservative,NA,1879–1879
Woman's Exponent,B. M. J. B.,1,Emily Hill Woodmansee,100%,0.932,Conservative,NA,1880–1880
Woman's Exponent,B. W. B.,1,Emily Hill Woodmansee,100%,0.409,Below threshold,NA,1877–1877
Woman's Exponent,C. A. J.,1,Eliza R. Snow,100%,0.904,Conservative,NA,1875–1875
Woman's Exponent,C. C. R. W.,1,Emmeline B. Wells,100%,0.794,Balanced,NA,1892–1892
Woman's Exponent,C. E. W.,1,Emmeline B. Wells,100%,1,Conservative,NA,1887–1887
Woman's Exponent,C. E. [.,1,Hannah T. King,100%,0.888,Conservative,NA,1878–1878
Woman's Exponent,C. J. T.,1,Helen Mar Whitney,100%,0.361,Below threshold,NA,1903–1903
Woman's Exponent,C. LW.,1,Augusta Joyce Crocheron,100%,0.993,Conservative,NA,1890–1890
Woman's Exponent,C. P. G.,1,Emmeline B. Wells,100%,0.955,Conservative,NA,1904–1904
Woman's Exponent,C. R.,1,Mary Ellen Kimball,100%,0.993,Conservative,NA,1877–1877
Woman's Exponent,C. S.,1,Helen Mar Whitney,100%,0.881,Conservative,NA,1875–1875
Woman's Exponent,C. S. W.,1,Ellis R. Shipp,100%,0.493,Below threshold,NA,1897–1897
Woman's Exponent,C. W.,1,Emmeline B. Wells,100%,0.947,Conservative,NA,1889–1889
Woman's Exponent,C. Y. C.,1,Helen Mar Whitney,100%,0.78,Balanced,NA,1898–1898
Woman's Exponent,D. E. D.,1,Lydia D. Alder,100%,0.354,Below threshold,NA,1888–1888
Woman's Exponent,D. I. S.,1,Emmeline B. Wells,100%,0.451,Below threshold,NA,1896–1896
Woman's Exponent,D. K.,1,Eliza R. Snow,100%,0.946,Conservative,NA,1877–1877
Woman's Exponent,D. K. O.,1,Zina D. H. Young,100%,0.865,Conservative,NA,1888–1888
Woman's Exponent,D. P. I.,1,Mary Ann M. Pratt,100%,0.697,Balanced,NA,1876–1876
Woman's Exponent,"E,. B. W.",1,Mary Ellen Kimball,100%,0.722,Balanced,NA,1901–1901
Woman's Exponent,E. A.,1,Augusta Joyce Crocheron,100%,0.885,Conservative,NA,1893–1893
Woman's Exponent,E. A. P.,1,Lydia D. Alder,100%,0.935,Conservative,NA,1877–1877
Woman's Exponent,"E. B,. W.",1,Hannah T. King,100%,0.438,Below threshold,NA,1881–1881
Woman's Exponent,E. B. F.,1,Ellis R. Shipp,100%,0.597,Balanced,NA,1884–1884
Woman's Exponent,E. C.,1,Zina D. H. Young,100%,0.466,Below threshold,NA,1876–1876
Woman's Exponent,E. C. C.,1,Hannah T. King,100%,0.675,Balanced,NA,1890–1890
Woman's Exponent,E. C. E. F.,1,Lydia D. Alder,100%,0.528,Below threshold,NA,1894–1894
Woman's Exponent,E. C. T.,1,Emmeline B. Wells,100%,0.687,Balanced,NA,1901–1901
Woman's Exponent,E. D.,1,Zina D. H. Young,100%,0.545,Below threshold,NA,1874–1874
Woman's Exponent,E. E. M.,1,Zina D. H. Young,100%,0.882,Conservative,NA,1876–1876
Woman's Exponent,E. E. W.,1,Lydia D. Alder,100%,0.449,Below threshold,NA,1888–1888
Woman's Exponent,E. H.,1,Mary Ann M. Pratt,100%,0.272,Below threshold,NA,1894–1894
Woman's Exponent,E. H. C.,1,Mary Ellen Kimball,100%,0.53,Below threshold,NA,1899–1899
Woman's Exponent,E. H. G.,1,Emily B. Spencer,100%,0.875,Conservative,NA,1892–1892
Woman's Exponent,E. H. H.,1,Helen Mar Whitney,100%,0.999,Conservative,NA,1904–1904
Woman's Exponent,E. H. L.,1,Lydia D. Alder,100%,0.404,Below threshold,NA,1891–1891
Woman's Exponent,E. J. F.,1,Emmeline B. Wells,100%,0.973,Conservative,NA,1879–1879
Woman's Exponent,E. J. S.,1,Helen Mar Whitney,100%,0.743,Balanced,NA,1895–1895
Woman's Exponent,E. K.,1,M. J. Tanner,100%,0.369,Below threshold,NA,1898–1898
Woman's Exponent,E. L. H.,1,Helen Mar Whitney,100%,0.35,Below threshold,NA,1878–1878
Woman's Exponent,E. M.,1,Hannah T. King,100%,0.755,Balanced,NA,1872–1872
Woman's Exponent,E. M. S.,1,Emmeline B. Wells,100%,0.684,Balanced,NA,1883–1883
Woman's Exponent,E. R. S.,1,Mary Ellen Kimball,100%,0.592,Balanced,NA,1891–1891
Woman's Exponent,E. R. S—M. D.,1,Augusta Joyce Crocheron,100%,0.581,Balanced,NA,1889–1889
Woman's Exponent,E. S. H.,1,Emily B. Spencer,100%,0.58,Balanced,NA,1886–1886
Woman's Exponent,E. S. T.,1,Lydia D. Alder,100%,0.269,Below threshold,NA,1896–1896
Woman's Exponent,E. T. G.,1,Augusta Joyce Crocheron,100%,0.625,Balanced,NA,1888–1888
Woman's Exponent,E. V. C.,1,Mary Ellen Kimball,100%,0.212,Below threshold,NA,1885–1885
Woman's Exponent,E. W.,1,Eliza R. Snow,100%,0.822,Conservative,NA,1879–1879
Woman's Exponent,E. W. C.,1,Lydia D. Alder,100%,0.439,Below threshold,NA,1904–1904
Woman's Exponent,E. W. H.,1,Ellis R. Shipp,100%,0.989,Conservative,NA,1893–1893
Woman's Exponent,F. B.,1,Helen Mar Whitney,100%,0.734,Balanced,NA,1884–1884
Woman's Exponent,F. M. A.,1,Lydia D. Alder,100%,0.671,Balanced,NA,1895–1895
Woman's Exponent,G. B. W.,1,Ellis R. Shipp,100%,0.346,Below threshold,NA,1912–1912
Woman's Exponent,G. R.,1,Helen Mar Whitney,100%,0.662,Balanced,NA,1883–1883
Woman's Exponent,G. R. B.,1,Emmeline B. Wells,100%,0.241,Below threshold,NA,1873–1873
Woman's Exponent,H. B. H.,1,Ellis R. Shipp,100%,0.87,Conservative,NA,1901–1901
Woman's Exponent,H. B. T.,1,Emmeline B. Wells,100%,0.636,Balanced,NA,1896–1896
Woman's Exponent,H. H.,1,Hannah T. King,100%,0.985,Conservative,NA,1888–1888
Woman's Exponent,H. H. S.,1,Helen Mar Whitney,100%,0.538,Below threshold,NA,1889–1889
Woman's Exponent,H. K.,1,Augusta Joyce Crocheron,100%,0.737,Balanced,NA,1875–1875
Woman's Exponent,H. L.,1,Mary Ellen Kimball,100%,0.899,Conservative,NA,1876–1876
Woman's Exponent,H. LW.,1,Emily B. Spencer,100%,0.549,Below threshold,NA,1892–1892
Woman's Exponent,H. S.,1,Augusta Joyce Crocheron,100%,0.341,Below threshold,NA,1882–1882
Woman's Exponent,I. E. R.,1,Emily B. Spencer,100%,0.355,Below threshold,NA,1909–1909
Woman's Exponent,I. F. S.,1,Emily B. Spencer,100%,0.454,Below threshold,NA,1899–1899
Woman's Exponent,I. G.,1,Emmeline B. Wells,100%,0.483,Below threshold,NA,1876–1876
Woman's Exponent,I. G. M.,1,Helen Mar Whitney,100%,0.857,Conservative,NA,1876–1876
Woman's Exponent,I. H. M.,1,Hannah T. King,100%,0.963,Conservative,NA,1877–1877
Woman's Exponent,I. V. H.,1,Zina D. H. Young,100%,0.473,Below threshold,NA,1876–1876
Woman's Exponent,IT.,1,Emmeline B. Wells,100%,1,Conservative,NA,1889–1889
Woman's Exponent,J. A. S.,1,Zina D. H. Young,100%,0.812,Conservative,NA,1875–1875
Woman's Exponent,J. B.,1,Augusta Joyce Crocheron,100%,0.558,Balanced,NA,1875–1875
Woman's Exponent,J. B. C.,1,Emmeline B. Wells,100%,0.614,Balanced,NA,1883–1883
Woman's Exponent,J. B. F.,1,Helen Mar Whitney,100%,0.559,Balanced,NA,1878–1878
Woman's Exponent,J. D. W.,1,Emily B. Spencer,100%,0.974,Conservative,NA,1886–1886
Woman's Exponent,J. E. D.,1,Lydia D. Alder,100%,0.564,Balanced,NA,1874–1874
Woman's Exponent,J. E. T.,1,Emmeline B. Wells,100%,0.449,Below threshold,NA,1875–1875
Woman's Exponent,"J. G,. B.",1,Emily Hill Woodmansee,100%,0.348,Below threshold,NA,1873–1873
