Publication,Alias,Type,Articles,Resembles (probable),Certainty,Agreement,Threshold,Also possible,Years
Woman's Exponent,P. A. M.,initials,1,Helen Mar Whitney,85%,100%,Conservative,NA,1873–1873
Woman's Exponent,P. E. C.,initials,1,Eliza R. Snow,55%,100%,Balanced,NA,1900–1900
Woman's Exponent,P. H. Y.,initials,1,Lydia D. Alder,96%,100%,Conservative,NA,1881–1881
Woman's Exponent,P. S. H.,initials,1,Zina D. H. Young,66%,100%,Balanced,NA,1875–1875
Woman's Exponent,R. A. S.,initials,1,Emmeline B. Wells,41%,100%,Below threshold,NA,1900–1900
Woman's Exponent,R. A. W.,initials,1,L. M. Hewlings,32%,100%,Below threshold,NA,1881–1881
Woman's Exponent,R. C. W.,initials,1,Emmeline B. Wells,26%,100%,Below threshold,NA,1883–1883
Woman's Exponent,R. F. S.,initials,1,Hannah T. King,81%,100%,Conservative,NA,1878–1878
Woman's Exponent,R. M.,initials,1,Mary Ellen Kimball,93%,100%,Conservative,NA,1875–1875
Woman's Exponent,R. R.,initials,1,Emmeline B. Wells,43%,100%,Below threshold,NA,1886–1886
Woman's Exponent,R. R. G.,initials,1,Emmeline B. Wells,48%,100%,Below threshold,NA,1879–1879
Woman's Exponent,R. R. I.,initials,1,Lydia D. Alder,64%,100%,Balanced,NA,1888–1888
Woman's Exponent,R. S. D.,initials,1,Emmeline B. Wells,99%,100%,Conservative,NA,1895–1895
Woman's Exponent,R. S. G.,initials,1,Lydia D. Alder,93%,100%,Conservative,NA,1902–1902
Woman's Exponent,R. W. F.,initials,1,Mary Ann M. Pratt,58%,100%,Balanced,NA,1887–1887
Woman's Exponent,R. W. S.,initials,1,Lydia D. Alder,40%,100%,Below threshold,NA,1886–1886
Woman's Exponent,S. A.,initials,1,Eliza R. Snow,51%,100%,Below threshold,NA,1878–1878
Woman's Exponent,S. A. C.,initials,1,M. J. Tanner,66%,100%,Balanced,NA,1874–1874
Woman's Exponent,S. B. R.,initials,1,Mary Ellen Kimball,97%,100%,Conservative,NA,1874–1874
Woman's Exponent,S. C. D.,initials,1,Zina D. H. Young,91%,100%,Conservative,NA,1877–1877
Woman's Exponent,S. C. M.,initials,1,Emily Hill Woodmansee,79%,100%,Balanced,NA,1894–1894
Woman's Exponent,S. E. P.,initials,1,Augusta Joyce Crocheron,88%,100%,Conservative,NA,1896–1896
Woman's Exponent,S. F. A.,initials,1,Helen Mar Whitney,67%,100%,Balanced,NA,1885–1885
Woman's Exponent,S. F. R.,initials,1,M. J. Tanner,68%,100%,Balanced,NA,1890–1890
Woman's Exponent,S. J. C.,initials,1,L. M. Hewlings,51%,100%,Below threshold,NA,1900–1900
Woman's Exponent,S. J. J.,initials,1,Eliza R. Snow,45%,100%,Below threshold,NA,1876–1876
Woman's Exponent,S. J. M.,initials,1,Emmeline B. Wells,95%,100%,Conservative,NA,1890–1890
Woman's Exponent,S. K. G.,initials,1,Hannah T. King,68%,100%,Balanced,NA,1874–1874
Woman's Exponent,S. L.,initials,1,Augusta Joyce Crocheron,88%,100%,Conservative,NA,1879–1879
Woman's Exponent,S. M. H.,initials,1,Emmeline B. Wells,97%,100%,Conservative,NA,1890–1890
Woman's Exponent,S. M. K.,initials,1,Hannah T. King,96%,100%,Conservative,NA,1879–1879
Woman's Exponent,S. P.,initials,1,Emmeline B. Wells,71%,100%,Balanced,NA,1889–1889
Woman's Exponent,S. P. G.,initials,1,Helen Mar Whitney,76%,100%,Balanced,NA,1891–1891
Woman's Exponent,S. S.,initials,1,Mary Ann M. Pratt,33%,100%,Below threshold,NA,1878–1878
Woman's Exponent,S. T.,initials,1,Lydia D. Alder,32%,100%,Below threshold,NA,1879–1879
Woman's Exponent,S. W. R.,initials,1,Emmeline B. Wells,76%,100%,Balanced,NA,1895–1895
Woman's Exponent,T. C. J.,initials,1,Emily B. Spencer,93%,100%,Conservative,NA,1881–1881
Woman's Exponent,T. L. H.,initials,1,Helen Mar Whitney,60%,100%,Balanced,NA,1885–1885
Woman's Exponent,U. C.,initials,1,Hannah T. King,48%,100%,Below threshold,NA,1883–1883
Woman's Exponent,W. H. B.,initials,1,Emmeline B. Wells,60%,100%,Balanced,NA,1889–1889
Woman's Exponent,W. H. S.,initials,1,Helen Mar Whitney,54%,100%,Below threshold,NA,1879–1879
Woman's Exponent,W. J. L.,initials,1,Lydia D. Alder,100%,100%,Conservative,NA,1902–1902
Woman's Exponent,W. R.,initials,1,Emmeline B. Wells,52%,100%,Below threshold,NA,1889–1889
Woman's Exponent,Y. L. M. I. A.,initials,1,Mary Ellen Kimball,37%,100%,Below threshold,NA,1904–1904
Woman's Exponent,Z. D. H. Y.,initials,1,Zina D. H. Young,72%,100%,Balanced,NA,1894–1894
Woman's Exponent,Clio,pen name,4,Helen Mar Whitney,69%,75%,Balanced,Hannah T. King,1897–1897
Woman's Exponent,Avondale,pen name,3,Mary Ann M. Pratt,57%,33%,Balanced,Hannah T. King,1874–1880
Woman's Exponent,Alder,pen name,1,M. J. Tanner,50%,100%,Below threshold,NA,1875–1875
Woman's Exponent,Amicus,pen name,1,Emily B. Spencer,23%,100%,Below threshold,NA,1894–1894
Woman's Exponent,Andrea,pen name,1,Mary Ellen Kimball,36%,100%,Below threshold,NA,1890–1890
Woman's Exponent,Beff,pen name,1,Lydia D. Alder,54%,100%,Below threshold,NA,1878–1878
Woman's Exponent,Creditors,pen name,1,Eliza R. Snow,92%,100%,Conservative,NA,1872–1872
Woman's Exponent,Emile,pen name,1,Augusta Joyce Crocheron,78%,100%,Balanced,NA,1875–1875
Woman's Exponent,Grandmother,pen name,1,Helen Mar Whitney,91%,100%,Conservative,NA,1886–1886
Woman's Exponent,Howarth,pen name,1,M. J. Tanner,98%,100%,Conservative,NA,1878–1878
Woman's Exponent,Laws,pen name,1,Emmeline B. Wells,90%,100%,Conservative,NA,1892–1892
Woman's Exponent,Marriage,pen name,1,Emmeline B. Wells,31%,100%,Below threshold,NA,1896–1896
Woman's Exponent,Meiklejohn,pen name,1,Zina D. H. Young,49%,100%,Below threshold,NA,1877–1877
Woman's Exponent,Plunket,pen name,1,Hannah T. King,80%,100%,Balanced,NA,1880–1880
Woman's Exponent,Woodruff,pen name,1,Augusta Joyce Crocheron,97%,100%,Conservative,NA,1889–1889
